id,release_date,original_title,title
172680,1992-10-01,黑貓II：刺殺葉利欽,Black Cat II
119353,1991-01-18,The Terror Within II,The Terror Within II
13893,1999-05-27,What Becomes of the Broken Hearted?,What Becomes of the Broken Hearted?
52034,2009-09-05,鉄男 THE BULLET MAN,Tetsuo: The Bullet Man
42466,1973-06-27,Scream Blacula Scream,Scream Blacula Scream
8460,2002-04-09,The Skulls II,The Skulls II
349388,2003-12-25,Mano Po 2: My Home,Mano Po 2: My Home
52022,1998-12-08,Subspecies 4: Bloodstorm,Subspecies 4: Bloodstorm
12550,1973-05-17,El ataque de los muertos sin ojos,Attack of the Blind Dead
40772,1986-10-27,Meatballs III: Summer Job,Meatballs III: Summer Job
31243,1958-07-17,La momia azteca contra el robot humano,The Robot vs. The Aztec Mummy
61243,1980-02-06,On a volé la cuisse de Jupiter,Jupiter's Thigh
21410,1966-05-03,座頭市の歌が聞える,Zatoichi's Vengeance
38269,1958-06-04,War of the Colossal Beast,War of the Colossal Beast
50912,1935-01-05,Tit for Tat,Tit for Tat
47631,1987-04-12,Bride of Boogedy,Bride of Boogedy
42673,2009-12-13,Santa Baby 2,Santa Baby 2
64428,1968-04-14,The Vengeance of She,The Vengeance of She
12098,1984-09-14,Zwei Nasen tanken Super,Zwei Nasen tanken Super
11981,1983-09-08,Die Supernasen,Die Supernasen
54275,1965-12-24,座頭市地獄旅,Zatoichi and the Chess Expert
103971,2003-02-18,Bloody Murder 2: Closing Camp,Bloody Murder 2: Closing Camp
70358,1980-03-20,宇宙怪獣ガメラ,Gamera: Super Monster
11872,1962-10-19,Er kanns nicht lassen,Er kanns nicht lassen
30327,1948-12-31,Ustedes los ricos,You the Rich
66881,1982-11-01,Nightbeast,Nightbeast
63382,2003-08-12,Scarecrow Slayer,Scarecrow Slayer
79875,1981-05-01,Kill and Kill Again,Kill and Kill Again
33478,1947-04-04,Buck Privates Come Home,Buck Privates Come Home
161017,1979-02-15,茅山殭屍拳,The Shadow Boxing
65460,1995-02-23,Carnosaur 2,Carnosaur 2
118255,1965-12-14,Life at the Top,Life at the Top
59984,1970-11-16,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Rides Again
40983,1972-06-21,Beware! The Blob,Beware! The Blob
163879,1963-06-18,OSS 117 se déchaîne,OSS 117 Is Unleashed
54272,1964-12-30,座頭市関所破り,Adventures of Zatoichi
32021,1973-01-16,The Night Strangler,The Night Strangler
55766,1978-03-30,Sweeney 2,Sweeney 2
44829,1994-02-03,Knight Rider 2010,Knight Rider 2010
207197,1982-06-27,La pulquería 2,La pulquería 2
65288,1980-12-31,Conquest of the Earth,Conquest of the Earth
27489,1973-01-26,Hexen geschändet und zu Tode gequält,Mark of the Devil Part II
164691,1973-10-20,"The Six Million Dollar Man: Wine, Women and War","The Six Million Dollar Man: Wine, Women and War"
54306,1972-09-02,新座頭市物語・折れた杖,Zatoichi in Desperation
68347,1989-05-18,Food of the Gods II,Food of the Gods II
61954,1994-03-29,Class of 1999 II: The Substitute,Class of 1999 II: The Substitute
38682,1952-05-09,The Battle at Apache Pass,The Battle at Apache Pass
15901,1985-03-10,Faces of Death III,Faces of Death III
31263,1984-02-13,Boggy Creek II: And the Legend Continues,Boggy Creek II: And the Legend Continues
30801,1952-07-14,Son of Paleface,Son of Paleface
108807,1978-05-19,True Grit: A Further Adventure,True Grit: A Further Adventure
87704,1989-06-27,Curse II: The Bite,Curse II: The Bite
16045,2008-03-14,Tempelriddernes Skat III: Mysteriet om slangekronen,The Lost Treasure of the Knights Templar III: The Mystery of the Snake Crown
26111,1987-09-05,Mer om oss barn i Bullerbyn,More About the Children of Noisy Village
54266,1964-11-17,座頭市血笑旅,"Fight, Zatoichi, Fight"
28626,2002-09-17,Embrace the Darkness III,Embrace the Darkness III
182360,1994-11-27,The Rockford Files: I Still Love L.A.,The Rockford Files: I Still Love L.A.
60368,2006-07-28,Max Havoc - Ring of Fire,Max Havoc - Ring of Fire
50076,1977-08-01,Confessions from a Holiday Camp,Confessions from a Holiday Camp
30323,1950-05-18,No desearás la mujer de tu hijo,No desearás la mujer de tu hijo
4337,1994-03-19,The Birds II: Land's End,The Birds II: Land's End
82545,1990-09-28,Texasville,Texasville
70322,1971-07-17,ガメラ対深海怪獣ジグラ,Gamera vs. Zigra
679484,1991-05-01,Siete en la mira 4: Yo soy la ley,Siete en la mira 4: Yo soy la ley
54278,1967-08-12,座頭市牢破り,Zatoichi the Outlaw
99760,1984-11-09,El pico 2,El Pico 2
214395,1949-04-19,The Lost Tribe,The Lost Tribe
29328,1942-02-02,Castle in the Desert,Castle in the Desert
95932,2006-12-01,Isi & Disi: alto voltaje,Isi & Disi: alto voltaje
38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising
54273,1965-04-03,座頭市二段斬り,Zatoichi's Revenge
24444,1971-01-13,新座頭市　破れ！唐人剣,Zatoichi Meets the One-Armed Swordsman
40897,1964-03-14,座頭市千両首,Zatoichi and the Chest of Gold
163631,1978-12-15,Oliver's Story,Oliver's Story
54279,1967-12-30,座頭市血煙り街道,Zatoichi Challenged
212306,1995-12-31,It Came from Outer Space II,It Came from Outer Space II
69343,1984-09-14,Exterminator 2,Exterminator 2
60173,1996-12-23,Nemesis 4: Death Angel,Nemesis 4: Death Angel
14213,2007-04-04,Recon 2022: The Mezzo Incident,Recon 2022: The Mezzo Incident
62392,1961-07-26,Tammy Tell Me True,Tammy Tell Me True
116385,1960-11-10,Let No Man Write My Epitaph,Let No Man Write My Epitaph
215302,1945-11-21,"What Next, Corporal Hargrove?","What Next, Corporal Hargrove?"
70634,1976-04-02,Schulmädchen-Report 10. Teil: Irgendwann fängt jede an,Campus Teasers
355185,2001-09-21,Family 2,Family 2
166206,1997-08-13,Brácula: Condemor II,Brácula: Condemor II
16904,1957-12-01,Blue Murder at St. Trinian's,Blue Murder at St. Trinian's
16487,1995-12-25,The Spirit of Christmas,The Spirit of Christmas
36896,1992-11-18,Killer Tomatoes Eat France!,Killer Tomatoes Eat France!
54265,1964-07-11,座頭市あばれ凧,Zatoichi's Flashing Sword
52409,2000-02-11,富江 replay,Tomie: Replay
182303,1942-03-19,The Bashful Bachelor,The Bashful Bachelor
64768,1988-01-01,Video Violence Part 2,Video Violence Part 2
54307,1973-04-21,新座頭市物語・笠間の血祭り,Zatoichi's Conspiracy
44259,2001-09-25,The Brotherhood 2: Young Warlocks,The Brotherhood 2: Young Warlocks
54280,1968-08-10,座頭市果し状,Zatoichi and the Fugitives
11168,1992-08-20,Go Trabi Go 2 - Das war der wilde Osten,Go Trabi Go 2: Those Were the Days of the Wild East
192965,1992-02-08,Karate Warrior 5,Karate Warrior 5
111868,1980-11-15,"High Noon, Part II: The Return of Will Kane","High Noon, Part II: The Return of Will Kane"
72977,2004-08-03,Soccer Dog: European Cup,Soccer Dog 2: European Cup
88674,1953-06-10,Francis Covers the Big Town,Francis Covers the Big Town
38268,1977-12-17,惑星大戦争,The War in Space
68143,1946-11-22,Dick Tracy vs. Cueball,Dick Tracy vs. Cueball
70702,1947-09-26,Dick Tracy Meets Gruesome,Dick Tracy Meets Gruesome
195656,1979-12-14,"La familia bien, gracias","La familia bien, gracias"
115695,1988-04-20,El Lute II: mañana seré libre,El Lute II: Tomorrow I'll Be Free
614828,1983-01-01,El vecindario 2,El vecindario 2
4155,1974-03-15,Paul and Michelle,Paul and Michelle
54276,1966-08-12,座頭市海を渡る,Zatoichi's Pilgrimage
71202,1992-10-07,Snake Eater III: His Law,Snake Eater III: His Law
