Unnamed: 0.2,id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
940,134833,1990-08-21,A-Ko The VS ＜ヴァーサス＞ Battle 2: Blue Side,Project A-Ko Versus Battle 2: Blue Side,Project A-Ko,859206,4721536
941,29799,1995-06-03,Project Shadowchaser III,Project Shadowchaser III,Project Shadowchaser Collection,721992,24962519
942,10925,1985-04-25,The Return of the Living Dead,The Return of the Living Dead,Return of the Living Dead Collection,101471,63310
943,3050,1998-06-26,Doctor Dolittle,Doctor Dolittle,Dr. Dolittle Collection,3169,2511602
944,19273,2009-04-08,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle: Million Dollar Mutts,Dr. Dolittle Collection,3169,23200481
945,84109,1956-02-17,Private's Progress,Private's Progress,Stanley Windrush Collection,1000578,172089
946,30497,1974-10-11,The Texas Chain Saw Massacre,The Texas Chain Saw Massacre,Texas Chainsaw Massacre Collection,111751,29781
947,16337,1986-08-22,The Texas Chainsaw Massacre 2,The Texas Chainsaw Massacre 2,Texas Chainsaw Massacre Collection,111751,397753
948,25018,1990-01-12,Leatherface: The Texas Chainsaw Massacre III,Leatherface: The Texas Chainsaw Massacre III,Texas Chainsaw Massacre Collection,111751,2609817
949,300665,2017-09-14,Leatherface,Leatherface,Texas Chainsaw Massacre Collection,111751,46860810
950,13202,2007-09-04,Animal 2,Animal 2,Animal Collection,384142,8720274
951,29723,1979-08-17,The Concorde... Airport '79,The Concorde... Airport '79,Airport Collection,33938,9677310
952,156545,1951-12-20,¿Qué te ha dado esa mujer?,¿Qué te ha dado esa mujer?,A.T.M. Colección,1068181,47670923
953,2662,2003-04-11,House of 1000 Corpses,House of 1000 Corpses,Firefly Collection,105625,307789
954,19893,1963-08-14,Flipper,Flipper,Flipper Collection,1205405,1972231
955,127244,1984-12-20,"Melvin, Son of Alvin","Melvin, Son of Alvin",Alvin Purple Collection,418980,37384577
956,24794,2003-07-01,Air Bud: Spikes Back,Air Bud: Spikes Back,Air Bud Collection,97445,5026744
957,29293,2006-02-11,House of the Dead 2,House of the Dead 2,House of the Dead Collection,117927,3242877
958,12448,2002-02-06,The Hunchback of Notre Dame II,The Hunchback of Notre Dame II,The Hunchback of Notre Dame Collection,97456,4493967
959,24266,1982-03-25,The Man from Snowy River,The Man from Snowy River,The Man From Snowy River Collection,89272,6534317
960,140441,2012-05-12,貞子3D,Sadako 3D,Ring Collection,93369,34543751
961,257527,2013-08-30,貞子3D2,Sadako 3D 2,Ring Collection,93369,40931665
962,940417,2022-10-28,貞子DX,Sadako DX,Ring Collection,93369,71443062
963,7484,2006-09-27,Open Season,Open Season,Open Season Collection,66761,8484755
964,13690,2008-09-24,Open Season 2,Open Season 2,Open Season Collection,66761,15359592
965,51170,2010-10-21,Open Season 3,Open Season 3,Open Season Collection,66761,24630747
966,34205,2001-10-12,Halloweentown II: Kalabar's Revenge,Halloweentown II: Kalabar's Revenge,Halloweentown Collection,87252,2931524
967,767,2009-07-15,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Harry Potter Collection,1241,858575
968,675,2007-07-08,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Harry Potter Collection,1241,670407
969,10546,1996-08-29,The Crow: City of Angels,The Crow: City of Angels,The Crow Collection,9436,877220
970,957452,2024-08-21,The Crow,The Crow,The Crow Collection,9436,70449017
971,10987,1995-09-29,Halloween: The Curse of Michael Myers,Halloween: The Curse of Michael Myers,Halloween Collection,91361,2002403
972,64768,1988-01-01,Video Violence Part 2,Video Violence Part 2,Video Violence Collection,779505,605939
973,12599,1999-07-17,劇場版ポケットモンスター 幻のポケモン ルギア爆誕,Pokémon the Movie 2000,Pokémon Collection,34055,1490639
974,12600,2001-07-06,劇場版ポケットモンスター セレビィ 時を超えた遭遇,Pokémon 4Ever,Pokémon Collection,34055,1989045
975,33875,2002-07-13,劇場版ポケットモンスター 水の都の護神 ラティアスとラティオス,Pokémon Heroes,Pokémon Collection,34055,1489050
976,10991,2000-07-08,劇場版ポケットモンスター 結晶塔の帝王 ENTEI,Pokémon 3: The Movie,Pokémon Collection,34055,4648834
977,34636,1990-10-25,The NeverEnding Story II: The Next Chapter,The NeverEnding Story II: The Next Chapter,The Neverending Story Collection,91430,2993846
978,132318,1996-11-01,新きまぐれオレンジ☆ロード ～ そして、あの夏のはじまり,New Kimagure Orange Road: Summer's Beginning,Kimagure Orange☆Road Collection,693543,23923214
979,1087784,1987-11-21,きまぐれオレンジ★ロード 総集編 七夕スペシャル,Kimagure Orange☆Road: Tanabata Special,Kimagure Orange☆Road Collection,693543,733853
980,3103,1944-12-01,House of Frankenstein,House of Frankenstein,Frankenstein (Universal) Collection,218406,3303226
981,42324,2006-12-28,조폭 마누라 3,My Wife Is a Gangster 3,My Wife is a Gangster Collection,101676,7330661
982,54074,2007-04-28,ゲゲゲの鬼太郎,Kitaro,Kitaro Collection,1008952,1605722
983,286812,1996-04-25,The Rockford Files: Friends and Foul Play,The Rockford Files: Friends and Foul Play,The Rockford Files Collection,492873,288362
984,182360,1994-11-27,The Rockford Files: I Still Love L.A.,The Rockford Files: I Still Love L.A.,The Rockford Files Collection,492873,288362
985,182376,1996-01-14,The Rockford Files: If the Frame Fits...,The Rockford Files: If the Frame Fits...,The Rockford Files Collection,492873,4288862
986,19186,1961-05-13,The Parent Trap,The Parent Trap,The Parent Trap Collection,216395,31176
987,30940,2000-03-12,The Inspectors 2: A Shred of Evidence,The Inspectors 2: A Shred of Evidence,The Inspectors Collection,1183055,11803959
988,291452,2014-05-20,Camp Blood First Slaughter,Camp Blood First Slaughter,Camp Blood Collection,234835,64092263
989,1221108,2023-12-12,Camp Blood X: Animated,Camp Blood X: Animated,Camp Blood Collection,234835,62436008
990,120323,2008-01-01,African Race,African Race,Crazy Race Collection,384341,20520132
991,198301,1975-07-20,Simone e Matteo: un gioco da ragazzi,Convoy Buddies,Šimon a Matouš (kolekce),623980,51585570
992,151074,1994-12-01,Spenser: The Judas Goat,Spenser: The Judas Goat,Spenser Collection,681327,26926
993,37835,1980-09-10,The Exterminator,The Exterminator,The Exterminator Collection,284024,171652
994,10839,1977-01-29,Cross of Iron,Cross of Iron,Cross of Iron Collection,93568,449352
995,15239,1984-05-15,The Toxic Avenger,The Toxic Avenger,The Toxic Avenger Collection,32135,105397
996,27601,2001-11-01,Citizen Toxie: The Toxic Avenger IV,Citizen Toxie: The Toxic Avenger IV,The Toxic Avenger Collection,32135,6212570
997,28165,1989-07-15,The Toxic Avenger Part II,The Toxic Avenger Part II,The Toxic Avenger Collection,32135,171279
998,28169,1989-11-24,The Toxic Avenger Part III: The Last Temptation of Toxie,The Toxic Avenger Part III: The Last Temptation of Toxie,The Toxic Avenger Collection,32135,6212119
999,63030,1986-06-20,最佳福星,Lucky Stars Go Places,Lucky Stars Collection,300431,12118772
1000,132008,1980-09-25,Los últimos golpes de El Torete,The Latest Scams of El Torete,Perros Callejeros Trilogy,300448,75100106
1001,26581,1965-08-23,Dr. Who and the Daleks,Dr. Who and the Daleks,Doctor Who (Peter Cushing) Collection,275873,359005
1002,113466,2003-08-20,El clon de Hitler,Hitler's Clone,Hitler's Clone Collection,546208,1853855
1003,27118,1939-03-24,The Hound of the Baskervilles,The Hound of the Baskervilles,Sherlock Holmes (Basil Rathbone) Collection,478628,5664795
1004,17481,1939-09-01,The Adventures of Sherlock Holmes,The Adventures of Sherlock Holmes,Sherlock Holmes (Basil Rathbone) Collection,478628,6435145
1005,50553,1943-09-17,Sherlock Holmes Faces Death,Sherlock Holmes Faces Death,Sherlock Holmes (Basil Rathbone) Collection,478628,11350840
1006,2443,1943-12-24,The Spider Woman,The Spider Woman,Sherlock Holmes (Basil Rathbone) Collection,478628,7781951
1007,33419,1945-03-16,The House of Fear,The House of Fear,Sherlock Holmes (Basil Rathbone) Collection,478628,8267581
1008,34327,1945-06-15,The Woman in Green,The Woman in Green,Sherlock Holmes (Basil Rathbone) Collection,478628,172407
1009,139659,2012-09-15,Puppet Master X: Axis Rising,Puppet Master X: Axis Rising,Puppet Master Collection,107949,35569277
1010,384978,2017-09-15,Puppet Master: Axis Termination,Puppet Master: Axis Termination,Puppet Master Collection,107949,50668415
1011,779157,2022-10-28,Puppet Master: Doktor Death,Puppet Master: Doktor Death,Puppet Master Collection,107949,75421188
1012,596332,2020-06-26,Blade: The Iron Cross,Blade: The Iron Cross,Puppet Master Collection,107949,75384273
1013,37292,1950-08-01,Broken Arrow,Broken Arrow,Cochise Collection,495027,993532
1014,62036,1959-12-19,Audace colpo dei soliti ignoti,Fiasco in Milan,The Usual Suspects Collection,656828,12780906
1015,62038,1985-12-25,I soliti ignoti vent'anni dopo,Big Deal on Madonna Street 20 Years Later,The Usual Suspects Collection,656828,438356
1016,128789,1989-12-15,Bedroom Eyes II,Bedroom Eyes II,Bedroom Eyes,1275328,50630452
1017,125337,1999-06-08,The Last Seduction II,The Last Seduction II,The Last Seduction Collection,1154497,39723119
1018,12625,1969-07-14,Guns of the Magnificent Seven,Guns of the Magnificent Seven,The Magnificent Seven Collection,110021,5731775
1019,25155,1987-01-23,The Stepfather,The Stepfather,The Stepfather Collection,138706,1370704
1020,87704,1989-06-27,Curse II: The Bite,Curse II: The Bite,The Curse Collection (1987-1991),744915,24888803
1021,94436,1991-05-10,Curse III: Blood Sacrifice,Curse III: Blood Sacrifice,The Curse Collection (1987-1991),744915,534778
1022,139262,1986-12-15,The Last Days of Patton,The Last Days of Patton,Patton Collection,609766,16014546
1023,26042,1999-10-12,Warlock III: The End of Innocence,Warlock III: The End of Innocence,Warlock Collection,87536,5513348
1024,24126,1993-05-01,Warlock: The Armageddon,Warlock: The Armageddon,Warlock Collection,87536,7106195
1025,32139,1999-01-01,Soccer Dog: The Movie,Soccer Dog: The Movie,Soccer Dog Collection,658929,19282000
1026,72977,2004-08-03,Soccer Dog: European Cup,Soccer Dog 2: European Cup,Soccer Dog Collection,658929,9323876
1027,304456,2010-11-10,Thong Girl 4: The Body Electric,Thong Girl 4: The Body Electric,Thong Girl Collection,1003007,13989611
1028,9725,1981-05-01,Friday the 13th Part 2,Friday the 13th Part 2,Friday the 13th Collection,9735,2274938
1029,9738,2005-06-29,Fantastic Four,Fantastic Four,Fantastic Four Collection,9744,1519783
1030,9877,1998-09-25,Urban Legend,Urban Legend,Urban Legend Collection,52760,935847
1031,12212,2000-09-22,Urban Legends: Final Cut,Urban Legends: Final Cut,Urban Legend Collection,52760,1688593
1032,10292,2005-07-19,Urban Legends: Bloody Mary,Urban Legends: Bloody Mary,Urban Legend Collection,52760,4122840
1033,23730,1984-08-31,C.H.U.D.,C.H.U.D.,C.H.U.D. Collection,257571,171620
1034,103604,1988-02-25,Intrépidos punks,Intrépidos punks,Intrépidos punks Collection,1066532,53255300
1035,1654,1967-06-15,The Dirty Dozen,The Dirty Dozen,The Dirty Dozen Collection,124492,309070
1036,33839,1950-03-31,Cheaper by the Dozen,Cheaper by the Dozen,Cheaper by the Dozen (1950) Collection,730700,4492414
1037,278332,1992-12-25,"Shake, Rattle & Roll IV","Shake, Rattle & Roll IV","Shake, Rattle & Roll Collection",527950,8346431
1038,319459,2008-12-25,"Shake, Rattle & Roll X","Shake, Rattle & Roll X","Shake, Rattle & Roll Collection",527950,19887951
1039,343964,2014-12-25,"Shake, Rattle & Roll XV","Shake, Rattle & Roll XV","Shake, Rattle & Roll Collection",527950,44082972
1040,287641,2004-12-25,Mano Po III: My Love,Mano Po III: My Love,Mano Po Collection,527954,10873994
1041,310647,2005-12-25,Mano Po 4: Ako Legal Wife,Mano Po 4: Ako Legal Wife,Mano Po Collection,527954,25542820
1042,353092,2006-12-25,Mano Po 5: Gua Ai Di,Mano Po 5: Gua Ai Di,Mano Po Collection,527954,12029149
1043,262004,1995-08-04,Black Fox: The Price of Peace,Black Fox: The Price of Peace,Black Fox Collection,665170,51774896
1044,333018,2005-12-25,"Enteng Kabisote 2: Okay ka, Fairy ko... The Legend Continues","Enteng Kabisote 2: Okay ka, Fairy ko... The Legend Continues",Enteng Kabisote Collection,527958,42656290
1045,353219,2012-12-25,"Si Agimat, si Enteng Kabisote at si Ako","Si Agimat, si Enteng Kabisote at si Ako",Enteng Kabisote Collection,527958,36923780
1046,428359,2016-11-30,Enteng Kabisote 10 and the Abangers,Enteng Kabisote 10 and the Abangers,Enteng Kabisote Collection,527958,51390673
1047,11183,1978-11-11,Les Bronzés,French Fried Vacation,French Fried Vacation,52835,6608572
1048,20641,2004-11-20,Love's Enduring Promise,Love's Enduring Promise,Love Comes Softly Collection,97919,1102360
1049,21636,2009-04-04,Love Takes Wing,Love Takes Wing,Love Comes Softly Collection,97919,21382951
1050,87313,2011-11-05,Love's Christmas Journey,Love's Christmas Journey,Love Comes Softly Collection,97919,35668122
1051,10580,1978-04-21,Eskimo Limon,Lemon Popsicle,Lemon Popsicle Collection,167552,4718783
1052,38172,1984-03-09,Roman Za'ir,Baby Love,Lemon Popsicle Collection,167552,1170553
1053,37601,1972-04-10,La noche del terror ciego,Tombs of the Blind Dead,The Blind Dead Collection,108170,5161973
1054,44453,1965-07-07,Merveilleuse Angélique,Angelique: The Road To Versailles,Angelique Collection,91813,1997076
1055,36887,1971-08-26,Der neue Schulmädchen-Report 2. Teil: Was Eltern den Schlaf raubt,Further Confessions of a Sixth Form Girl,Schoolgirl Report Collection,304809,15621279
1056,279754,1989-09-11,American Boyfriends,American Boyfriends,My American Cousin Collection,749278,8930957
1057,860,1983-06-03,WarGames,WarGames,WarGames Collection,151263,171622
1058,61852,1973-09-06,Le Grand Bazar,The Big Store,Les Charlots - Saga,188133,41909676
1059,79391,1972-12-14,Les Charlots font l'Espagne,Charlots Go to Spain,Les Charlots - Saga,188133,64215752
1060,62659,1974-03-13,À nous quatre cardinal !,The Four Charlots Musketeers 2,Les Charlots - Saga,188133,2179813
1061,1679,1955-04-24,ゴジラの逆襲,Godzilla Raids Again,Godzilla (Showa) Collection,374509,570279
1062,1682,1964-04-29,モスラ対ゴジラ,Mothra vs. Godzilla,Godzilla (Showa) Collection,374509,570269
1063,15766,1964-12-20,三大怪獣　地球最大の決戦,"Ghidorah, the Three-Headed Monster",Godzilla (Showa) Collection,374509,570263
1064,3107,1968-08-01,怪獣総進撃,Destroy All Monsters,Godzilla (Showa) Collection,374509,11994
1065,41474,1972-09-02,子連れ狼 死に風に向う乳母車,Lone Wolf and Cub: Baby Cart to Hades,Lone Wolf and Cub Collection,102128,5672172
1066,26881,1988-05-22,The Incredible Hulk Returns,The Incredible Hulk Returns,The Incredible Hulk Collection,114431,7864161
1067,139793,1937-06-01,The Road Back,The Road Back,All Quiet On The Western Front Collection,1070848,19081988
1068,89659,1975-07-12,Criminally Insane,Criminally Insane,Crazy Fat Ethel Collection,831249,42128633
1069,14444,1998-11-20,The Rugrats Movie,The Rugrats Movie,Rugrats Collection,57129,1507610
1070,12076,2005-09-23,Elsk meg i morgen,Love Me Tomorrow,Elling Collection,12075,4962981
1071,10748,2007-12-21,St. Trinian's,St. Trinian's,St. Trinian's Collection,12077,10874116
1072,37565,2009-12-18,St Trinian's 2: The Legend of Fritton's Gold,St Trinian's 2: The Legend of Fritton's Gold,St. Trinian's Collection,12077,22635683
1073,16904,1957-12-01,Blue Murder at St. Trinian's,Blue Murder at St. Trinian's,St. Trinian's Collection,12077,1381479
1074,40637,1980-09-10,The Wildcats of St. Trinian's,The Wildcats of St. Trinian's,St. Trinian's Collection,12077,15397651
1075,28682,1977-01-05,Emanuelle in America,Emanuelle in America,Black Emanuelle Collection,227140,16090838
1076,28574,1982-09-09,Violenza in un carcere femminile,Violence in a Women's Prison,Black Emanuelle Collection,227140,28038054
1077,45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre,Black Emanuelle Collection,227140,16909489
1078,90119,1976-07-31,Emanuelle nera n. 2,Black Emanuelle 2,Black Emanuelle Collection,227140,37379963
1079,39965,1976-05-07,Emanuelle nera: Orient reportage,Emanuelle in Bangkok,Black Emanuelle Collection,227140,37379963
1080,263261,1937-09-01,Victoria the Great,Victoria the Great,Queen Victoria Collection,1175370,172439
1081,96,1987-05-18,Beverly Hills Cop II,Beverly Hills Cop II,Beverly Hills Cop Collection,85861,807842
1082,280180,2024-06-20,Beverly Hills Cop: Axel F,Beverly Hills Cop: Axel F,Beverly Hills Cop Collection,85861,77318097
1083,43332,1954-06-16,Demetrius and the Gladiators,Demetrius and the Gladiators,Demetrius Collection,366444,2016956
1084,28605,1987-07-31,Ghoulies II,Ghoulies II,Ghoulies Collection,44913,2501408
1085,14208,2006-09-09,The Librarian: Return to King Solomon's Mines,The Librarian: Return to King Solomon's Mines,The Librarian Collection,85890,7764053
1086,19766,2003-03-11,Inspector Gadget 2,Inspector Gadget 2,Inspector Gadget Collection,237445,4508113
1087,24883,1983-03-25,The Black Stallion Returns,The Black Stallion Returns,The Black Stallion Collection,405393,9922304
1088,42418,2003-12-25,Young Black Stallion,Young Black Stallion,The Black Stallion Collection,405393,12414269
1089,204912,1993-09-22,Thunder in Paradise,Thunder in Paradise,Thunder in Paradise Collection,425881,1741394
1090,207390,1994-04-27,Thunder in Paradise 2,Thunder in Paradise 2,Thunder in Paradise Collection,425881,171019
1091,59480,1996-07-12,ガメラ2 レギオン襲来,Gamera 2: Attack of Legion,Gamera (Heisei) Collection,657313,4399374
1092,1171541,2023-09-26,Sniper: G.R.I.T. - Global Response & Intelligence Team,Sniper: G.R.I.T. - Global Response & Intelligence Team,Sniper Collection,14246,43476960
1093,9021,2002-09-29,The Santa Clause 2,The Santa Clause 2,The Santa Clause Collection,53159,454718
1094,64142,1936-12-20,Three Smart Girls,Three Smart Girls,Three Smart Girls Trilogy,1361831,61520
1095,41357,1971-04-19,Summer of '42,Summer of '42,Summer of '42 Collection,1286059,171680
1096,3176,2000-12-16,バトル・ロワイアル,Battle Royale,Battle Royale Collection,16302,304692
1097,3177,2003-07-05,バトル・ロワイアルII 鎮魂歌,Battle Royale II: Requiem,Battle Royale Collection,16302,1312231
1098,17478,2004-08-27,धूम,Dhoom,Dhoom Collection,44976,1828869
1099,44977,2013-12-19,धूम ३,Dhoom 3,Dhoom Collection,44976,30722099
1100,496319,2026-08-14,Dhoom 4,Dhoom 4,Dhoom Collection,44976,41462504
1101,141,2001-01-19,Donnie Darko,Donnie Darko,Darko Collection,178106,57820
1102,113917,2009-01-18,The Brotherhood V: Alumni,The Brotherhood V: Alumni,The Brotherhood Collection,262086,4977595
1103,180631,2009-01-19,The Brotherhood VI: Initiation,The Brotherhood VI: Initiation,The Brotherhood Collection,262086,4977595
1104,42263,1975-07-23,Return to Macon County,Return to Macon County,Macon County Collection,458697,25276910
1105,322018,1990-05-17,ഇൻ ഹരിഹർ നഗർ,In Harihar Nagar,Harihar Nagar  Collection,415694,3635024
1106,202724,2010-03-25,In ഗോസ്റ്റ് ഹൗസ് Inn,In Ghost House Inn,Harihar Nagar  Collection,415694,24073925
1107,10193,2010-06-16,Toy Story 3,Toy Story 3,Toy Story Collection,10194,1213838
1108,301528,2019-06-19,Toy Story 4,Toy Story 4,Toy Story Collection,10194,57782491
1109,38467,1945-05-11,The Scarlet Clue,The Scarlet Clue,Charlie Chan (Sidney Toler) Collection,413661,28616678
1110,52728,1967-03-15,大怪獣空中戦 ガメラ対ギャオス,Gamera vs. Gyaos,Gamera (Showa) Collection,161766,171689
1111,70358,1980-03-20,宇宙怪獣ガメラ,Gamera: Super Monster,Gamera (Showa) Collection,161766,171652
1112,34131,1968-03-20,ガメラ対宇宙怪獣バイラス,Gamera vs. Viras,Gamera (Showa) Collection,161766,4399322
1113,11587,1990-08-17,The Exorcist III,The Exorcist III,The Exorcist Collection,12263,30873695
1114,9869,1992-06-04,Patriot Games,Patriot Games,The Jack Ryan Collection,192492,3499096
1115,97466,1976-06-17,Kill or Be Killed,Kill or Be Killed,Kill or Be Killed Collection,124915,8410394
1120,12237,1978-11-10,Faces of Death,Faces of Death,Faces of Death Collection,97237,1047827
1121,15900,1981-05-01,Faces of Death II,Faces of Death II,Faces of Death Collection,97237,2729504
1122,15901,1985-03-10,Faces of Death III,Faces of Death III,Faces of Death Collection,97237,430216
1123,15903,1995-10-10,Faces of Death V,Faces of Death V,Faces of Death Collection,97237,206818
1124,97251,1999-01-01,Faces of Death: Fact or Fiction?,Faces of Death: Fact or Fiction?,Faces of Death Collection,97237,430216
1125,287077,1992-11-11,The Best of Gesichter des Todes,The Best of Gesichter des Todes,Faces of Death Collection,97237,26286053
1126,390540,1987-06-15,The Worst of Faces of Death,The Worst of Faces of Death,Faces of Death Collection,97237,13607881
1127,30830,1977-12-26,Fantasm Comes Again,Fantasm Comes Again,Fantasm Collection,406487,36990120
1128,226686,1986-05-29,Perry Mason: The Case of the Notorious Nun,Perry Mason: The Case of the Notorious Nun,The Perry Mason TV Movie Collection,977885,46355452
1129,227667,1986-11-08,Perry Mason: The Case of the Shooting Star,Perry Mason: The Case of the Shooting Star,The Perry Mason TV Movie Collection,977885,46355452
1130,225525,1987-02-23,Perry Mason: The Case of the Lost Love,Perry Mason: The Case of the Lost Love,The Perry Mason TV Movie Collection,977885,46355452
1131,89463,1987-05-24,Perry Mason: The Case of the Sinister Spirit,Perry Mason: The Case of the Sinister Spirit,The Perry Mason TV Movie Collection,977885,46355452
1132,225577,1987-10-04,Perry Mason: The Case of the Murdered Madam,Perry Mason: The Case of the Murdered Madam,The Perry Mason TV Movie Collection,977885,46355452
1133,89307,1987-11-15,Perry Mason: The Case of the Scandalous Scoundrel,Perry Mason: The Case of the Scandalous Scoundrel,The Perry Mason TV Movie Collection,977885,46355452
1134,227668,1988-05-15,Perry Mason: The Case of the Lady in the Lake,Perry Mason: The Case of the Lady in the Lake,The Perry Mason TV Movie Collection,977885,46355452
1135,229087,1989-02-12,Perry Mason: The Case of the Lethal Lesson,Perry Mason: The Case of the Lethal Lesson,The Perry Mason TV Movie Collection,977885,46355452
1136,229081,1989-04-09,Perry Mason: The Case of the Musical Murder,Perry Mason: The Case of the Musical Murder,The Perry Mason TV Movie Collection,977885,46355452
1137,94105,1990-05-20,Perry Mason: The Case of the Silenced Singer,Perry Mason: The Case of the Silenced Singer,The Perry Mason TV Movie Collection,977885,46355452
1138,229094,1990-09-30,Perry Mason: The Case of the Defiant Daughter,Perry Mason: The Case of the Defiant Daughter,The Perry Mason TV Movie Collection,977885,46355452
1139,92931,1991-01-06,Perry Mason: The Case of the Ruthless Reporter,Perry Mason: The Case of the Ruthless Reporter,The Perry Mason TV Movie Collection,977885,46355452
1140,96906,1991-02-11,Perry Mason: The Case of the Maligned Mobster,Perry Mason: The Case of the Maligned Mobster,The Perry Mason TV Movie Collection,977885,46355452
1141,85758,1991-05-14,Perry Mason: The Case of the Glass Coffin,Perry Mason: The Case of the Glass Coffin,The Perry Mason TV Movie Collection,977885,46355452
1142,226050,1991-09-24,Perry Mason: The Case of the Fatal Fashion,Perry Mason: The Case of the Fatal Fashion,The Perry Mason TV Movie Collection,977885,46355452
1143,228257,1992-03-01,Perry Mason: The Case of the Fatal Framing,Perry Mason: The Case of the Fatal Framing,The Perry Mason TV Movie Collection,977885,46355452
1144,95400,1992-05-05,Perry Mason: The Case of the Reckless Romeo,Perry Mason: The Case of the Reckless Romeo,The Perry Mason TV Movie Collection,977885,46355452
1145,85755,1992-10-30,Perry Mason: The Case of the Heartbroken Bride,Perry Mason: The Case of the Heartbroken Bride,The Perry Mason TV Movie Collection,977885,46355452
1146,97073,1993-02-19,Perry Mason: The Case of the Skin-Deep Scandal,Perry Mason: The Case of the Skin-Deep Scandal,The Perry Mason TV Movie Collection,977885,46355452
1147,226236,1993-05-21,Perry Mason: The Case of the Telltale Talk Show Host,Perry Mason: The Case of the Telltale Talk Show Host,The Perry Mason TV Movie Collection,977885,46355452
1148,85753,1993-11-29,Perry Mason: The Case of the Killer Kiss,Perry Mason: The Case of the Killer Kiss,The Perry Mason TV Movie Collection,977885,46355452
1149,92940,1993-12-17,Perry Mason: The Case of the Wicked Wives,Perry Mason: The Case of the Wicked Wives,The Perry Mason TV Movie Collection,977885,46355452
1150,226679,1995-04-10,Perry Mason: The Case of the Jealous Jokester,Perry Mason: The Case of the Jealous Jokester,The Perry Mason TV Movie Collection,977885,46355452
1151,110026,1935-05-21,The New Adventures of Tarzan,The New Adventures of Tarzan,Tarzan (Bruce Bennett) Collection,941022,2195077
1152,76950,1938-02-14,Tarzan and the Green Goddess,Tarzan and the Green Goddess,Tarzan (Bruce Bennett) Collection,941022,13680600
1153,8923,2005-09-09,Green Street Hooligans,Green Street Hooligans,Green Street Hooligans Collection,152544,2405253
1154,15809,2009-03-23,Green Street Hooligans 2,Green Street Hooligans 2,Green Street Hooligans Collection,152544,21863848
1155,182873,2013-10-21,Green Street Hooligans: Underground,Green Street 3: Never Back Down,Green Street Hooligans Collection,152544,36196361
1156,71200,1989-02-22,Snake Eater,Snake Eater,Snake Eater Collection,218104,5628441
1157,71201,1989-10-01,Snake Eater II: The Drug Buster,Snake Eater II: The Drug Buster,Snake Eater Collection,218104,5628441
1158,453629,1990-02-01,La Risa en Vacaciones,La Risa en Vacaciones,La Risa en Vacaciones,453631,57752049
1159,391308,1991-04-04,La risa en vacaciones 2,La risa en vacaciones 2,La Risa en Vacaciones,453631,7818561
1160,391340,1994-01-07,La risa en vacaciones 4,La risa en vacaciones 4,La Risa en Vacaciones,453631,7818561
1161,388897,1994-03-21,La risa en vacaciones 5,La risa en vacaciones 5,La Risa en Vacaciones,453631,57752049
1162,391314,1996-11-11,La risa en vacaciones 8,La risa en vacaciones 8,La Risa en Vacaciones,453631,44568833
1163,388923,1995-03-21,La loca risa en vacaciones 7,La Risa En Vacaciones 7,La Risa en Vacaciones,453631,70908980
1164,143873,1997-01-01,The Body Beautiful,The Body Beautiful,The Click,955406,52371
1165,662234,1997-01-04,Erotic Curse of Cairo,Erotic Curse of Cairo,The Click,955406,168362
1167,615002,1997-01-07,Secrets Revealed,Secrets Revealed,The Click,955406,1988806
1168,53510,1948-03-25,Nosotros los pobres,We the Poor,Pepe El Toro - Colección,758801,172385
1169,30327,1948-12-31,Ustedes los ricos,You the Rich,Pepe El Toro - Colección,758801,11654754
1170,30324,1953-08-21,Pepe El Toro,Pepe El Toro,Pepe El Toro - Colección,758801,51094847
1171,43241,1957-10-25,The Amazing Colossal Man,The Amazing Colossal Man,The Amazing Colossal Man Collection,394258,339516
1172,38269,1958-06-04,War of the Colossal Beast,War of the Colossal Beast,The Amazing Colossal Man Collection,394258,334865
1173,10530,1995-06-14,Pocahontas,Pocahontas,Pocahontas Collection,136214,399433
1174,13761,1998-08-04,Pocahontas II: Journey to a New World,Pocahontas II: Journey to a New World,Pocahontas Collection,136214,4345625
1175,40147,1997-10-07,Night of the Demons III,Night of the Demons III,Night of the Demons Collection,136218,10664680
1176,24925,1994-05-31,Night of the Demons 2,Night of the Demons 2,Night of the Demons Collection,136218,6809382
1177,10747,1976-06-30,The Outlaw Josey Wales,The Outlaw Josey Wales,Josey Wales Collection,711707,75270
1178,225424,1986-10-01,The Return of Josey Wales,The Return of Josey Wales,Josey Wales Collection,711707,47732617
1179,7341,1999-03-12,The Rage: Carrie 2,The Rage: Carrie 2,Carrie Collection,257053,2310825
1180,7340,1976-11-03,Carrie,Carrie,Carrie Collection,257053,4899791
1181,1493,2000-12-22,Miss Congeniality,Miss Congeniality,Miss Congeniality Collection,93220,19715
1182,10040,2005-03-11,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality 2: Armed and Fabulous,Miss Congeniality Collection,93220,1744593
1183,9460,1996-11-07,黑俠,Black Mask,The Black Mask Collection,205860,3315039
1184,49516,2002-12-24,黑俠2,Black Mask 2: City of Masks,The Black Mask Collection,205860,11137278
