id,release_date,original_title,title,collection,collection_id
1176139,2023-12-07,Your Christmas or Mine 2,Your Christmas or Mine 2,Your Christmas or Mine Collection,1186471
8922,2001-07-01,Jeepers Creepers,Jeepers Creepers,Jeepers Creepers Collection,94899
11351,2003-08-08,Jeepers Creepers 2,Jeepers Creepers 2,Jeepers Creepers Collection,94899
55341,2017-09-26,Jeepers Creepers 3,Jeepers Creepers 3,Jeepers Creepers Collection,94899
207703,2015-01-24,Kingsman: The Secret Service,Kingsman: The Secret Service,Kingsman Collection,391860
343668,2017-09-20,Kingsman: The Golden Circle,Kingsman: The Golden Circle,Kingsman Collection,391860
476669,2021-12-22,The King's Man,The King's Man,Kingsman Collection,391860
10372,1985-11-24,Ewoks: The Battle for Endor,Ewoks: The Battle for Endor,Star Wars: The Ewok Adventures Collection,133830
1884,1984-11-25,The Ewok Adventure,The Ewok Adventure,Star Wars: The Ewok Adventures Collection,133830
467012,2017-09-28,Pengabdi Setan,Satan's Slaves,Satan's Slaves Collection,991946
925786,2022-07-30,Pengabdi Setan 2: Communion,Satan's Slaves 2: Communion,Satan's Slaves Collection,991946
1280095,,PS:O,PS:O,Satan's Slaves Collection,991946
460399,2018-01-06,映画 中二病でも恋がしたい! -Take On Me-,"Love, Chunibyo & Other Delusions! Take On Me","Love, Chunibyo & Other Delusions! The Movie Collection",1192656
214553,2013-09-14,小鳥遊六花・改 ～劇場版 中二病でも恋がしたい!～,"Love, Chunibyo & Other Delusions! Rikka Version","Love, Chunibyo & Other Delusions! The Movie Collection",1192656
420634,2018-01-25,Terrifier,Terrifier,Terrifier Collection,727761
663712,2022-10-06,Terrifier 2,Terrifier 2,Terrifier Collection,727761
1034541,2024-10-09,Terrifier 3,Terrifier 3,Terrifier Collection,727761
1320786,,Terrifier 4,Terrifier 4,Terrifier Collection,727761
8766,1996-03-08,Hellraiser: Bloodline,Hellraiser: Bloodline,Hellraiser Collection,8917
9003,1987-09-11,Hellraiser,Hellraiser,Hellraiser Collection,8917
11246,2002-10-15,Hellraiser: Hellseeker,Hellraiser: Hellseeker,Hellraiser Collection,8917
11569,1992-09-11,Hellraiser III: Hell on Earth,Hellraiser III: Hell on Earth,Hellraiser Collection,8917
12597,2000-10-31,Hellraiser: Inferno,Hellraiser: Inferno,Hellraiser Collection,8917
12699,2005-09-06,Hellraiser: Hellworld,Hellraiser: Hellworld,Hellraiser Collection,8917
17455,2005-06-07,Hellraiser: Deader,Hellraiser: Deader,Hellraiser Collection,8917
9064,1988-12-23,Hellbound: Hellraiser II,Hellbound: Hellraiser II,Hellraiser Collection,8917
70584,2011-10-18,Hellraiser: Revelations,Hellraiser: Revelations,Hellraiser Collection,8917
444149,2018-02-13,Hellraiser: Judgment,Hellraiser: Judgment,Hellraiser Collection,8917
13225,1992-04-10,FernGully: The Last Rainforest,FernGully: The Last Rainforest,FernGully Collection,19160
18948,1998-03-17,FernGully 2: The Magical Rescue,FernGully 2: The Magical Rescue,FernGully Collection,19160
12144,1988-11-18,The Land Before Time,The Land Before Time,The Land Before Time Collection,19163
15997,1994-12-12,The Land Before Time II: The Great Valley Adventure,The Land Before Time II: The Great Valley Adventure,The Land Before Time Collection,19163
17337,1998-12-01,The Land Before Time VI: The Secret of Saurus Rock,The Land Before Time VI: The Secret of Saurus Rock,The Land Before Time Collection,19163
19004,1995-03-16,The Land Before Time III: The Time of the Great Giving,The Land Before Time III: The Time of the Great Giving,The Land Before Time Collection,19163
19164,1996-11-01,The Land Before Time IV: Journey Through the Mists,The Land Before Time IV: Journey Through the Mists,The Land Before Time Collection,19163
19165,1997-09-12,The Land Before Time V: The Mysterious Island,The Land Before Time V: The Mysterious Island,The Land Before Time Collection,19163
24102,2000-12-05,The Land Before Time VII: The Stone of Cold Fire,The Land Before Time VII: The Stone of Cold Fire,The Land Before Time Collection,19163
24554,2003-12-02,The Land Before Time X: The Great Longneck Migration,The Land Before Time X: The Great Longneck Migration,The Land Before Time Collection,19163
24556,2005-01-11,The Land Before Time XI: Invasion of the Tinysauruses,The Land Before Time XI: Invasion of the Tinysauruses,The Land Before Time Collection,19163
25556,2002-12-17,The Land Before Time IX: Journey to Big Water,The Land Before Time IX: Journey to Big Water,The Land Before Time Collection,19163
31933,2006-02-27,The Land Before Time XII: The Great Day of the Flyers,The Land Before Time XII: The Great Day of the Flyers,The Land Before Time Collection,19163
39961,2007-11-27,The Land Before Time XIII: The Wisdom of Friends,The Land Before Time XIII: The Wisdom of Friends,The Land Before Time Collection,19163
25587,2001-12-04,The Land Before Time VIII: The Big Freeze,The Land Before Time VIII: The Big Freeze,The Land Before Time Collection,19163
339526,2016-02-02,The Land Before Time XIV: Journey of the Brave,The Land Before Time XIV: Journey of the Brave,The Land Before Time Collection,19163
14745,2008-10-31,The Haunting of Molly Hartley,The Haunting of Molly Hartley,Molly Hartley Collection,518876
353345,2015-10-09,The Exorcism of Molly Hartley,The Exorcism of Molly Hartley,Molly Hartley Collection,518876
566810,2018-11-26,Dragon Kingdom,The Dark Kingdom,Knights of the Damned Collection,570079
464876,2017-09-25,Knights of the Damned,Knights of the Damned,Knights of the Damned Collection,570079
634,2001-04-13,Bridget Jones's Diary,Bridget Jones's Diary,Bridget Jones Collection,8936
9801,2004-11-10,Bridget Jones: The Edge of Reason,Bridget Jones: The Edge of Reason,Bridget Jones Collection,8936
95610,2016-09-14,Bridget Jones's Baby,Bridget Jones's Baby,Bridget Jones Collection,8936
1272149,2025-02-12,Bridget Jones: Mad About the Boy,Bridget Jones: Mad About the Boy,Bridget Jones Collection,8936
2787,2000-02-18,Pitch Black,Pitch Black,The Chronicles of Riddick Collection,2794
2789,2004-06-11,The Chronicles of Riddick,The Chronicles of Riddick,The Chronicles of Riddick Collection,2794
87421,2013-09-02,Riddick,Riddick,The Chronicles of Riddick Collection,2794
374771,,Riddick: Furya,Riddick: Furya,The Chronicles of Riddick Collection,2794
176000,1992-03-01,A Woman Scorned: The Betty Broderick Story,A Woman Scorned: The Betty Broderick Story,Betty Broderick Collection,750317
345529,1994-10-14,"Her Final Fury: Betty Broderick, the Last Chapter","Her Final Fury: Betty Broderick, the Last Chapter",Betty Broderick Collection,750317
8810,1981-12-24,Mad Max 2,Mad Max 2,Mad Max Collection,8945
9355,1985-06-29,Mad Max Beyond Thunderdome,Mad Max Beyond Thunderdome,Mad Max Collection,8945
9659,1979-04-12,Mad Max,Mad Max,Mad Max Collection,8945
76341,2015-05-13,Mad Max: Fury Road,Mad Max: Fury Road,Mad Max Collection,8945
340023,,Mad Max: The Wasteland,Mad Max: The Wasteland,Mad Max Collection,8945
786892,2024-05-22,Furiosa: A Mad Max Saga,Furiosa: A Mad Max Saga,Mad Max Collection,8945
312221,2015-11-25,Creed,Creed,Creed Collection,553717
480530,2018-11-21,Creed II,Creed II,Creed Collection,553717
677179,2023-03-01,Creed III,Creed III,Creed Collection,553717
2105,1999-07-09,American Pie,American Pie,American Pie Collection,2806
2770,2001-08-10,American Pie 2,American Pie 2,American Pie Collection,2806
8273,2003-08-01,American Wedding,American Wedding,American Pie Collection,2806
71552,2012-04-04,American Reunion,American Reunion,American Pie Collection,2806
21882,1976-08-25,Gator,Gator,Gator Collection,289531
4984,1973-08-06,White Lightning,White Lightning,Gator Collection,289531
216015,2015-02-11,Fifty Shades of Grey,Fifty Shades of Grey,Fifty Shades Collection,344830
341174,2017-02-08,Fifty Shades Darker,Fifty Shades Darker,Fifty Shades Collection,344830
337167,2018-01-17,Fifty Shades Freed,Fifty Shades Freed,Fifty Shades Collection,344830
31203,2009-09-30,Le Petit Nicolas,Little Nicholas,Little Nicholas Trilogy,303872
277368,2014-07-09,Les Vacances du Petit Nicolas,Nicholas on Holiday,Little Nicholas Trilogy,303872
740844,2021-09-09,Le Trésor du Petit Nicolas,Little Nicholas' Treasure,Little Nicholas Trilogy,303872
474350,2019-09-04,It Chapter Two,It Chapter Two,It Collection,477962
346364,2017-09-06,It,It,It Collection,477962
8329,2007-11-23,[REC],[REC],[REC] Collection,74508
10664,2009-09-15,[REC]²,[REC]²,[REC] Collection,74508
80280,2012-03-30,[REC]³ Génesis,[REC]³ Genesis,[REC] Collection,74508
185341,2014-10-31,[REC]⁴: Apocalipsis,[REC]⁴ Apocalypse,[REC] Collection,74508
11356,1968-05-16,The Odd Couple,The Odd Couple,The Odd Couple Collection,221966
27472,1998-04-09,The Odd Couple II,The Odd Couple II,The Odd Couple Collection,221966
823087,2021-04-29,Ape vs. Monster,Ape vs. Monster,Ape vs. Collection,1102610
1094844,2023-03-24,Ape vs Mecha Ape,Ape vs Mecha Ape,Ape vs. Collection,1102610
1269539,2024-04-05,Ape X Mecha Ape: New World Order,Ape X Mecha Ape: New World Order,Ape vs. Collection,1102610
38780,2009-09-27,Rampage,Rampage,Rampage Collection,283417
250388,2014-07-19,Rampage: Capital Punishment,Rampage: Capital Punishment,Rampage Collection,283417
395925,2016-08-26,Rampage: President Down,Rampage: President Down,Rampage Collection,283417
757289,,Rampage IV: The New Blood,Rampage IV: The New Blood,Rampage Collection,283417
9012,2002-10-25,Jackass: The Movie,Jackass: The Movie,Jackass Collection,17178
12094,2006-09-22,Jackass Number Two,Jackass Number Two,Jackass Collection,17178
16290,2010-10-15,Jackass 3D,Jackass 3D,Jackass Collection,17178
65851,2011-04-01,Jackass 3.5,Jackass 3.5,Jackass Collection,17178
14158,2007-12-18,Jackass 2.5,Jackass 2.5,Jackass Collection,17178
656663,2022-02-01,Jackass Forever,Jackass Forever,Jackass Collection,17178
828853,2022-05-20,Jackass 4.5,Jackass 4.5,Jackass Collection,17178
675445,2021-08-09,PAW Patrol: The Movie,PAW Patrol: The Movie,PAW Patrol (Theatrical) Collection,893731
893723,2023-09-21,PAW Patrol: The Mighty Movie,PAW Patrol: The Mighty Movie,PAW Patrol (Theatrical) Collection,893731
1185806,2026-07-31,Paw Patrol 3,Paw Patrol 3,PAW Patrol (Theatrical) Collection,893731
315635,2017-07-05,Spider-Man: Homecoming,Spider-Man: Homecoming,Spider-Man (MCU) Collection,531241
429617,2019-06-28,Spider-Man: Far From Home,Spider-Man: Far From Home,Spider-Man (MCU) Collection,531241
634649,2021-12-15,Spider-Man: No Way Home,Spider-Man: No Way Home,Spider-Man (MCU) Collection,531241
969681,2026-07-22,Spider-Man 4,Spider-Man 4,Spider-Man (MCU) Collection,531241
82507,2012-03-29,Sinister,Sinister,Sinister Collection,357173
283445,2015-08-19,Sinister 2,Sinister 2,Sinister Collection,357173
22586,1994-11-18,The Swan Princess,The Swan Princess,The Swan Princess Collection,144200
54113,1997-06-19,The Swan Princess: Escape from Castle Mountain,The Swan Princess: Escape from Castle Mountain,The Swan Princess Collection,144200
28302,1998-08-04,The Swan Princess: The Mystery of the Enchanted Kingdom,The Swan Princess: The Mystery of the Enchanted Kingdom,The Swan Princess Collection,144200
141102,2012-11-05,The Swan Princess Christmas,The Swan Princess Christmas,The Swan Princess Collection,144200
254263,2014-02-25,The Swan Princess: A Royal Family Tale,The Swan Princess: A Royal Family Tale,The Swan Princess Collection,144200
414223,2016-09-06,"The Swan Princess: Princess Tomorrow, Pirate Today!","The Swan Princess: Princess Tomorrow, Pirate Today!",The Swan Princess Collection,144200
443484,2017-03-26,The Swan Princess: Royally Undercover,The Swan Princess: Royally Undercover,The Swan Princess Collection,144200
510096,2018-03-27,The Swan Princess: A Royal Myztery,The Swan Princess: A Royal Myztery,The Swan Princess Collection,144200
605829,2019-08-05,The Swan Princess: Kingdom of Music,The Swan Princess: Kingdom of Music,The Swan Princess Collection,144200
718100,2020-07-20,The Swan Princess: A Royal Wedding,The Swan Princess: A Royal Wedding,The Swan Princess Collection,144200
1118203,2023-05-15,The Swan Princess: A Fairytale Is Born,The Swan Princess: A Fairytale Is Born,The Swan Princess Collection,144200
1175959,2023-09-19,The Swan Princess: Far Longer Than Forever,The Swan Princess: Far Longer Than Forever,The Swan Princess Collection,144200
2501,2002-06-14,The Bourne Identity,The Bourne Identity,The Bourne Collection,31562
2502,2004-07-23,The Bourne Supremacy,The Bourne Supremacy,The Bourne Collection,31562
2503,2007-08-03,The Bourne Ultimatum,The Bourne Ultimatum,The Bourne Collection,31562
49040,2012-08-08,The Bourne Legacy,The Bourne Legacy,The Bourne Collection,31562
324668,2016-07-27,Jason Bourne,Jason Bourne,The Bourne Collection,31562
11868,1958-05-22,Dracula,Dracula,Dracula (Hammer) Collection,123724
23220,1960-07-07,The Brides of Dracula,The Brides of Dracula,Dracula (Hammer) Collection,123724
17102,1966-01-09,Dracula: Prince of Darkness,Dracula: Prince of Darkness,Dracula (Hammer) Collection,123724
29778,1968-11-07,Dracula Has Risen from the Grave,Dracula Has Risen from the Grave,Dracula (Hammer) Collection,123724
29748,1970-05-07,Taste the Blood of Dracula,Taste the Blood of Dracula,Dracula (Hammer) Collection,123724
34479,1970-11-08,Scars of Dracula,Scars of Dracula,Dracula (Hammer) Collection,123724
33020,1972-06-26,Dracula A.D. 1972,Dracula A.D. 1972,Dracula (Hammer) Collection,123724
35669,1973-11-03,The Satanic Rites of Dracula,The Satanic Rites of Dracula,Dracula (Hammer) Collection,123724
26480,1974-07-11,The Legend of the 7 Golden Vampires,The Legend of the 7 Golden Vampires,Dracula (Hammer) Collection,123724
11811,1993-01-08,Leprechaun,Leprechaun,Leprechaun Collection,19285
18009,1994-04-08,Leprechaun 2,Leprechaun 2,Leprechaun Collection,19285
18011,2000-03-28,Leprechaun in the Hood,Leprechaun in the Hood,Leprechaun Collection,19285
19286,1995-06-27,Leprechaun 3,Leprechaun 3,Leprechaun Collection,19285
19287,1997-02-25,Leprechaun 4: In Space,Leprechaun 4: In Space,Leprechaun Collection,19285
19288,2003-12-30,Leprechaun: Back 2 tha Hood,Leprechaun: Back 2 tha Hood,Leprechaun Collection,19285
518158,2018-12-11,Leprechaun Returns,Leprechaun Returns,Leprechaun Collection,19285
68726,2013-07-11,Pacific Rim,Pacific Rim,Pacific Rim Collection,363369
268896,2018-03-21,Pacific Rim: Uprising,Pacific Rim: Uprising,Pacific Rim Collection,363369
9011,2000-03-14,The Prophecy 3: The Ascent,The Prophecy 3: The Ascent,The Prophecy Collection,9068
9033,1998-01-20,The Prophecy II,The Prophecy II,The Prophecy Collection,9068
11980,1995-08-05,The Prophecy,The Prophecy,The Prophecy Collection,9068
19564,2005-06-07,The Prophecy: Uprising,The Prophecy: Uprising,The Prophecy Collection,9068
37529,2005-09-06,The Prophecy: Forsaken,The Prophecy: Forsaken,The Prophecy Collection,9068
114150,2012-09-28,Pitch Perfect,Pitch Perfect,Pitch Perfect Collection,306031
254470,2015-05-07,Pitch Perfect 2,Pitch Perfect 2,Pitch Perfect Collection,306031
353616,2017-12-20,Pitch Perfect 3,Pitch Perfect 3,Pitch Perfect Collection,306031
442062,2018-10-11,Goosebumps 2: Haunted Halloween,Goosebumps 2: Haunted Halloween,Goosebumps Collection,508783
257445,2015-08-05,Goosebumps,Goosebumps,Goosebumps Collection,508783
227306,2014-12-25,Unbroken,Unbroken,Unbroken Collection,725873
506680,2018-09-14,Unbroken: Path to Redemption,Unbroken: Path to Redemption,Unbroken Collection,725873
274167,2015-12-25,Daddy's Home,Daddy's Home,Daddy's Home Collection,473971
419680,2017-11-09,Daddy's Home 2,Daddy's Home 2,Daddy's Home Collection,473971
153518,2016-05-11,The Angry Birds Movie,The Angry Birds Movie,The Angry Birds Collection,531315
454640,2019-08-02,The Angry Birds Movie 2,The Angry Birds Movie 2,The Angry Birds Collection,531315
1300926,,The Angry Birds Movie 3,The Angry Birds Movie 3,The Angry Birds Collection,531315
13475,2009-05-06,Star Trek,Star Trek,Star Trek: Alternate Reality Collection,115575
54138,2013-05-05,Star Trek Into Darkness,Star Trek Into Darkness,Star Trek: Alternate Reality Collection,115575
188927,2016-07-07,Star Trek Beyond,Star Trek Beyond,Star Trek: Alternate Reality Collection,115575
467903,,Untitled Star Trek 4,Untitled Star Trek 4,Star Trek: Alternate Reality Collection,115575
539,1960-06-22,Psycho,Psycho,Psycho Collection,119674
10576,1983-06-03,Psycho II,Psycho II,Psycho Collection,119674
12662,1986-04-02,Psycho III,Psycho III,Psycho Collection,119674
40377,1990-11-10,Psycho IV: The Beginning,Psycho IV: The Beginning,Psycho Collection,119674
117319,2013-01-25,விஸ்வரூபம்,Vishwaroopam,Vishwaroopam Collection,654203
278358,2018-08-09,விஸ்வரூபம் II,Vishwaroopam II,Vishwaroopam Collection,654203
744,1986-05-16,Top Gun,Top Gun,Top Gun Collection,531330
361743,2022-05-21,Top Gun: Maverick,Top Gun: Maverick,Top Gun Collection,531330
1229934,,Top Gun 3,Top Gun 3,Top Gun Collection,531330
102651,2014-05-28,Maleficent,Maleficent,Maleficent Collection,531331
420809,2019-10-16,Maleficent: Mistress of Evil,Maleficent: Mistress of Evil,Maleficent Collection,531331
622420,2019-11-09,The Jack in the Box,The Jack in the Box,Jack in the Box Collection,916357
801071,2022-02-24,The Jack in the Box: Awakening,The Jack in the Box: Awakening,Jack in the Box Collection,916357
1207898,2024-01-18,The Jack in the Box Rises,The Jack in the Box Rises,Jack in the Box Collection,916357
1318595,,The Jack in the Box 4,The Jack in the Box 4,Jack in the Box Collection,916357
6498,1994-02-25,Nattevagten,Nightwatch,Nightwatch Collection,1172371
1029880,2023-12-14,Nattevagten - Dæmoner går i arv,Nightwatch: Demons Are Forever,Nightwatch Collection,1172371
19243,1971-07-09,On the Buses,On the Buses,On the Buses Collection,123798
19249,1973-05-19,Holiday on the Buses,Holiday on the Buses,On the Buses Collection,123798
40570,1972-06-02,Mutiny on the Buses,Mutiny on the Buses,On the Buses Collection,123798
618851,2021-01-08,劇場版 美少女戦士セーラームーンEternal 前編,Pretty Guardian Sailor Moon Eternal the Movie Part 1,Pretty Guardian Sailor Moon Eternal Collection,824215
784500,2021-02-11,劇場版 美少女戦士セーラームーンEternal 後編,Pretty Guardian Sailor Moon Eternal the Movie Part 2,Pretty Guardian Sailor Moon Eternal Collection,824215
175774,2013-03-14,Rubinrot,Ruby Red,Gwendolyn Shepherd Collection,304025
279229,2014-08-14,Saphirblau,Sapphire Blue,Gwendolyn Shepherd Collection,304025
337556,2016-07-07,Smaragdgrün,Emerald Green,Gwendolyn Shepherd Collection,304025
297189,2014-06-07,劇場版 ペルソナ3 第2章 Midsummer Knight's Dream,PERSONA3 THE MOVIE #2 Midsummer Knight's Dream,PERSONA3 THE MOVIE Collection,340890
372761,2016-01-23,劇場版 ペルソナ3 第4章  Winter of Rebirth,PERSONA3 THE MOVIE #4 Winter of Rebirth,PERSONA3 THE MOVIE Collection,340890
212153,2013-11-23,劇場版 ペルソナ3 第1章 Spring of Birth,PERSONA3 THE MOVIE #1 Spring of Birth,PERSONA3 THE MOVIE Collection,340890
332169,2015-04-04,劇場版 ペルソナ3 第3章 Falling Down,PERSONA3 THE MOVIE #3 Falling Down,PERSONA3 THE MOVIE Collection,340890
695962,2022-05-20,भूल भुलैया 2,Bhool Bhulaiyaa 2,Bhool Bhulaiyaa Collection,977824
19025,2007-10-12,भूल भुलैया,Bhool Bhulaiyaa,Bhool Bhulaiyaa Collection,977824
980599,2024-11-01,भूल भुलैया 3,Bhool Bhulaiyaa 3,Bhool Bhulaiyaa Collection,977824
620,1984-06-08,Ghostbusters,Ghostbusters,Ghostbusters Collection,2980
2978,1989-06-16,Ghostbusters II,Ghostbusters II,Ghostbusters Collection,2980
425909,2021-11-18,Ghostbusters: Afterlife,Ghostbusters: Afterlife,Ghostbusters Collection,2980
967847,2024-03-20,Ghostbusters: Frozen Empire,Ghostbusters: Frozen Empire,Ghostbusters Collection,2980
936,1963-12-18,The Pink Panther,The Pink Panther,The Pink Panther (Original) Collection,937
1594,1964-06-23,A Shot in the Dark,A Shot in the Dark,The Pink Panther (Original) Collection,937
6081,1978-01-08,Revenge of the Pink Panther,Revenge of the Pink Panther,The Pink Panther (Original) Collection,937
9699,1982-12-03,Trail of the Pink Panther,Trail of the Pink Panther,The Pink Panther (Original) Collection,937
11573,1968-07-19,Inspector Clouseau,Inspector Clouseau,The Pink Panther (Original) Collection,937
11843,1975-05-21,The Return of the Pink Panther,The Return of the Pink Panther,The Pink Panther (Original) Collection,937
12268,1976-12-15,The Pink Panther Strikes Again,The Pink Panther Strikes Again,The Pink Panther (Original) Collection,937
46828,1993-08-27,Son of the Pink Panther,Son of the Pink Panther,The Pink Panther (Original) Collection,937
36576,1983-08-12,Curse of the Pink Panther,Curse of the Pink Panther,The Pink Panther (Original) Collection,937
64494,1985-03-01,Malibu Express,Malibu Express,"Bullets, Bombs, and Babes Collection",736172
26011,1987-03-01,Hard Ticket to Hawaii,Hard Ticket to Hawaii,"Bullets, Bombs, and Babes Collection",736172
50560,1988-02-01,Picasso Trigger,Picasso Trigger,"Bullets, Bombs, and Babes Collection",736172
67394,1989-10-01,Savage Beach,Savage Beach,"Bullets, Bombs, and Babes Collection",736172
46360,1990-11-09,Guns,Guns,"Bullets, Bombs, and Babes Collection",736172
35739,1991-06-28,Do or Die,Do or Die,"Bullets, Bombs, and Babes Collection",736172
45030,1992-09-11,Hard Hunted,Hard Hunted,"Bullets, Bombs, and Babes Collection",736172
45029,1993-10-27,Fit to Kill,Fit to Kill,"Bullets, Bombs, and Babes Collection",736172
49983,1994-06-03,Enemy Gold,Enemy Gold,"Bullets, Bombs, and Babes Collection",736172
67398,1994-10-02,The Dallas Connection,The Dallas Connection,"Bullets, Bombs, and Babes Collection",736172
67396,1996-02-14,Day of the Warrior,Day of the Warrior,"Bullets, Bombs, and Babes Collection",736172
67395,1998-01-27,L.E.T.H.A.L. Ladies: Return to Savage Beach,L.E.T.H.A.L. Ladies: Return to Savage Beach,"Bullets, Bombs, and Babes Collection",736172
1368,1982-10-22,First Blood,First Blood,Rambo Collection,5039
1369,1985-05-21,Rambo: First Blood Part II,Rambo: First Blood Part II,Rambo Collection,5039
1370,1988-05-24,Rambo III,Rambo III,Rambo Collection,5039
7555,2008-01-24,Rambo,Rambo,Rambo Collection,5039
522938,2019-09-19,Rambo: Last Blood,Rambo: Last Blood,Rambo Collection,5039
941,1987-03-06,Lethal Weapon,Lethal Weapon,Lethal Weapon Collection,945
942,1989-07-07,Lethal Weapon 2,Lethal Weapon 2,Lethal Weapon Collection,945
943,1992-05-15,Lethal Weapon 3,Lethal Weapon 3,Lethal Weapon Collection,945
944,1998-07-10,Lethal Weapon 4,Lethal Weapon 4,Lethal Weapon Collection,945
898789,,Lethal Weapon 5,Lethal Weapon 5,Lethal Weapon Collection,945
102899,2015-07-14,Ant-Man,Ant-Man,Ant-Man Collection,422834
363088,2018-07-04,Ant-Man and the Wasp,Ant-Man and the Wasp,Ant-Man Collection,422834
640146,2023-02-15,Ant-Man and the Wasp: Quantumania,Ant-Man and the Wasp: Quantumania,Ant-Man Collection,422834
78,1982-06-25,Blade Runner,Blade Runner,Blade Runner Collection,422837
335984,2017-10-04,Blade Runner 2049,Blade Runner 2049,Blade Runner Collection,422837
39939,2001-02-15,Super Troopers,Super Troopers,Super Troopers Collection,449462
50022,2018-04-19,Super Troopers 2,Super Troopers 2,Super Troopers Collection,449462
675871,,Super Troopers 3: Winter Soldiers,Super Troopers 3: Winter Soldiers,Super Troopers Collection,449462
262504,2016-03-09,Allegiant,Allegiant,Divergent Collection,283579
262500,2015-03-18,Insurgent,Insurgent,Divergent Collection,283579
157350,2014-03-14,Divergent,Divergent,Divergent Collection,283579
21481,2005-10-14,Twitches,Twitches,Twitches Collection,263106
46169,2007-10-12,Twitches Too,Twitches Too,Twitches Collection,263106
11836,2004-11-19,The SpongeBob SquarePants Movie,The SpongeBob SquarePants Movie,SpongeBob Collection,275402
228165,2015-01-28,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,SpongeBob Collection,275402
400160,2020-08-14,The SpongeBob Movie: Sponge on the Run,The SpongeBob Movie: Sponge on the Run,SpongeBob Collection,275402
991494,2025-12-19,The SpongeBob Movie: Search for SquarePants,The SpongeBob Movie: Search for SquarePants,SpongeBob Collection,275402
13666,1941-12-12,The Wolf Man,The Wolf Man,The Wolf Man Collection,259027
3076,1943-03-05,Frankenstein Meets the Wolf Man,Frankenstein Meets the Wolf Man,The Wolf Man Collection,259027
366630,2015-12-06,The Bridge,The Bridge,The Bridge Collection,451539
381615,2016-03-20,The Bridge Part 2,The Bridge Part 2,The Bridge Collection,451539
30829,1976-07-16,Fantasm,Fantasm,Fantasm Collection,406487
30830,1977-12-26,Fantasm Comes Again,Fantasm Comes Again,Fantasm Collection,406487
601844,2020-07-23,Becky,Becky,Becky Collection,986072
986070,2023-05-26,The Wrath of Becky,The Wrath of Becky,Becky Collection,986072
278427,2010-12-21,Family Guy Presents: It's a Trap!,Family Guy Presents: It's a Trap!,"Family Guy Trilogy Collection: Laugh It Up, Fuzzball!",701402
625651,2009-12-22,"Family Guy Presents: Something, Something, Something, Dark Side","Family Guy Presents: Something, Something, Something, Dark Side","Family Guy Trilogy Collection: Laugh It Up, Fuzzball!",701402
653528,2008-01-21,Family Guy Presents: Blue Harvest,Family Guy Presents: Blue Harvest,"Family Guy Trilogy Collection: Laugh It Up, Fuzzball!",701402
334298,2015-07-16,捉妖记,Monster Hunt,Monster Hunt Collection,519163
497984,2018-02-16,捉妖记2,Monster Hunt 2,Monster Hunt Collection,519163
507569,2018-08-18,劇場版 七つの大罪 天空の囚われ人,The Seven Deadly Sins: Prisoners of the Sky,The Seven Deadly Sins Collection,703485
843241,2021-07-02,劇場版 七つの大罪 光に呪われし者たち,The Seven Deadly Sins: Cursed by Light,The Seven Deadly Sins Collection,703485
989937,2022-12-20,七つの大罪 怨嗟のエジンバラ 前編,The Seven Deadly Sins: Grudge of Edinburgh Part 1,The Seven Deadly Sins Collection,703485
1064835,2023-08-08,七つの大罪 怨嗟のエジンバラ 後編,The Seven Deadly Sins: Grudge of Edinburgh Part 2,The Seven Deadly Sins Collection,703485
421630,2016-11-13,Finding Father Christmas,Finding Father Christmas,Robin Jones Gunn's Father Christmas Collection,492542
479607,2017-11-12,Engaging Father Christmas,Engaging Father Christmas,Robin Jones Gunn's Father Christmas Collection,492542
549304,2018-11-04,Marrying Father Christmas,Marrying Father Christmas,Robin Jones Gunn's Father Christmas Collection,492542
2019,1993-04-27,Hard Target,Hard Target,Hard Target Collection,412680
402331,2016-07-14,Hard Target 2,Hard Target 2,Hard Target Collection,412680
447332,2018-04-03,A Quiet Place,A Quiet Place,A Quiet Place Collection,521226
520763,2021-05-21,A Quiet Place Part II,A Quiet Place Part II,A Quiet Place Collection,521226
1324923,,A Quiet Place Part III,A Quiet Place Part III,A Quiet Place Collection,521226
530254,2018-06-27,마녀,The Witch: Part 1. The Subversion,The Witch Collection,619533
615173,2022-06-15,마녀 2,The Witch: Part 2. The Other One,The Witch Collection,619533
381902,2016-01-22,西遊記之孫悟空三打白骨精,The Monkey King 2,The Monkey King Collection,392206
119892,2014-01-09,西遊記之大鬧天宮,The Monkey King,The Monkey King Collection,392206
437543,2018-02-16,西游记·女儿国,The Monkey King 3,The Monkey King Collection,392206
15070,2002-07-17,Undisputed,Undisputed,Undisputed Collection,117777
15255,2006-04-11,Undisputed II: Last Man Standing,Undisputed II: Last Man Standing,Undisputed Collection,117777
38234,2010-04-17,Undisputed III: Redemption,Undisputed III: Redemption,Undisputed Collection,117777
348893,2016-08-01,Boyka: Undisputed IV,Boyka: Undisputed IV,Undisputed Collection,117777
396535,2016-07-20,부산행,Train to Busan,Train to Busan Collection,619537
581392,2020-07-15,반도,Peninsula,Train to Busan Collection,619537
403119,2017-05-25,47 Meters Down,47 Meters Down,47 Meters Down Collection,635922
480105,2019-08-15,47 Meters Down: Uncaged,47 Meters Down: Uncaged,47 Meters Down Collection,635922
