id,release_date,original_title,title,collection,collection_id,Wikipedia movie ID
119313,1941-11-13,Secrets of the Lone Wolf,Secrets of the Lone Wolf,Lone Wolf Collection,395433,31657410.0
144470,1940-11-02,The Lone Wolf Keeps a Date,The Lone Wolf Keeps a Date,Lone Wolf Collection,395433,40436651.0
85229,1941-03-06,The Lone Wolf Takes a Chance,The Lone Wolf Takes a Chance,Lone Wolf Collection,395433,55221221.0
100113,1942-09-03,Counter-Espionage,Counter-Espionage,Lone Wolf Collection,395433,31667998.0
148080,1943-01-22,One Dangerous Night,One Dangerous Night,Lone Wolf Collection,395433,40360400.0
109212,1943-08-19,Passport to Suez,Passport to Suez,Lone Wolf Collection,395433,34632016.0
100866,1946-02-14,The Notorious Lone Wolf,The Notorious Lone Wolf,Lone Wolf Collection,395433,40370167.0
395445,1947-01-16,The Lone Wolf in Mexico,The Lone Wolf in Mexico,Lone Wolf Collection,395433,40311375.0
85899,1947-11-13,The Lone Wolf in London,The Lone Wolf in London,Lone Wolf Collection,395433,34258056.0
170546,1949-08-11,The Lone Wolf and His Lady,The Lone Wolf and His Lady,Lone Wolf Collection,395433,40379744.0
82871,1997-01-01,Auton,Auton,Auton Trilogy collection,702650,4504237.0
82411,1998-01-01,Auton 2: Sentinel,Auton 2: Sentinel,Auton Trilogy collection,702650,4504237.0
82873,1999-07-01,Auton 3: Awakening,Auton 3: Awakening,Auton Trilogy collection,702650,4504237.0
204959,1998-01-02,Mindgame,Mindgame,Mindgame Saga collection,702652,7211734.0
336249,1999-03-05,Mindgame Trilogy,Mindgame Trilogy,Mindgame Saga collection,702652,49998329.0
28733,1970-06-10,"Count Yorga, Vampire","Count Yorga, Vampire",Count Yorga Collection,327871,3374673.0
28855,1971-08-18,The Return of Count Yorga,The Return of Count Yorga,Count Yorga Collection,327871,12677727.0
106534,1983-11-12,Perkawinan Nyi Blorong,The Snake Queen's Wedding,Nyi Blorong - Collection,1106111,33641119.0
106516,1986-12-30,Petualangan Cinta Nyi Blorong,The Hungry Snake Woman,Nyi Blorong - Collection,1106111,4655264.0
106511,1982-10-21,Nyi Blorong,The Snake Queen,Nyi Blorong - Collection,1106111,8440216.0
84710,1944-06-01,Jungle Woman,Jungle Woman,The Ape Woman Collection,809152,13604898.0
84708,1943-06-04,Captive Wild Woman,Captive Wild Woman,The Ape Woman Collection,809152,9618920.0
84711,1945-06-25,The Jungle Captive,The Jungle Captive,The Ape Woman Collection,809152,20097181.0
106296,1941-02-28,The Monster and the Girl,The Monster and the Girl,The Ape Woman Collection,809152,9430272.0
64073,1996-01-01,Ein fast perfekter Seitensprung,Ein fast perfekter Seitensprung,Eine fast perfekte... Trilogie,751810,11450092.0
64231,1998-02-06,Eine fast perfekte Scheidung,Eine fast perfekte Scheidung,Eine fast perfekte... Trilogie,751810,8284708.0
64233,1999-02-19,Eine fast perfekte Hochzeit,Eine fast perfekte Hochzeit,Eine fast perfekte... Trilogie,751810,56797113.0
318619,1988-06-25,Santet,Santet,Santet - Collection,1106116,3397147.0
318621,1989-01-01,Wanita Harimau: Santet 2,Santet 2,Santet - Collection,1106116,384028.0
