,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Unnamed: 0,id,release_date,original_title,title,collection,collection_id
18986,2857073,/m/08769f,Twitches,2005-10-14,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3myc"": ""Children's Fantasy""}",910,21481,2005-10-14,Twitches,Twitches,Twitches Collection,263106
19093,8777894,/m/027jdg0,Dangerous Game,1993,23671.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/0219x_"": ""Indie""}",500,229594,1994-11-14,A Dangerous Place,A Dangerous Place,Magic Kid Collection,397848
19124,4333214,/m/0bxmws,I'll Always Know What You Did Last Summer,2006-08-22,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/09blyk"": ""Psychological thriller"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",1402,3602,2006-06-24,I'll Always Know What You Did Last Summer,I'll Always Know What You Did Last Summer,I Know What You Did Last Summer Collection,3601
19132,18062757,/m/047ntyg,Joy Ride 2: Dead Ahead,2008-10,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04228s"": ""Road movie"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller""}",436,16763,2009-01-23,Joy Ride 2: Dead Ahead,Joy Ride 2: Dead Ahead,Joy Ride Collection,166378
19201,22243471,/m/05q962c,Pulse 3: Invasion,2008,,91.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",1176,14255,2008-12-23,Pulse 3,Pulse 3,Pulse Collection,124188
19211,11558238,/m/02rj2qt,The Boogeyman,1980,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",315,40220,1980-11-07,The Boogey Man,The Boogey Man,The Boogey Man Collection,715105
19425,1896864,/m/064kkg,9½ Weeks,1986-02-21,6734844.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02js9"": ""Erotica""}",330,10068,1986-02-09,Nine 1/2 Weeks,Nine 1/2 Weeks,9½ Weeks Collection,121195
19425,1896864,/m/064kkg,9½ Weeks,1986-02-21,6734844.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02js9"": ""Erotica""}",331,18167,1997-06-12,Another 9 1/2 Weeks,Another 9 1/2 Weeks,9½ Weeks Collection,121195
19440,1226871,/m/04k38_,"No Retreat, No Surrender",1986-05-02,,79.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03h64"": ""Hong Kong""}","{""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/0gw5qqq"": ""Chinese Movies""}",1714,12721,1986-05-02,"No Retreat, No Surrender","No Retreat, No Surrender","No Retreat, No Surrender Collection",384920
19492,7042051,/m/0h1mkn,Bride of Boogedy,1987-04-12,,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3myq"": ""Children's/Family""}",481,47631,1987-04-12,Bride of Boogedy,Bride of Boogedy,Mr. Boogedy Collection,47629
19592,1549008,/m/059k85,Herbie: Fully Loaded,2005-06-19,144133816.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3l_y"": ""Action Comedy"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0hqxf"": ""Family Film"", ""/m/0ltv"": ""Auto racing""}",1661,11451,2005-06-22,Herbie Fully Loaded,Herbie Fully Loaded,Herbie Collection,12087
19640,3066864,/m/08p6d0,Nemesis,1993-01-29,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0k6nt"": ""Denmark""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie""}",164,24230,1992-12-26,Nemesis,Nemesis,Nemesis Collection,286948
19640,3066864,/m/08p6d0,Nemesis,1993-01-29,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0k6nt"": ""Denmark""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie""}",167,540727,2017-12-01,Nemesis 5: The New Model,Nemesis 5: The New Model,Nemesis Collection,286948
19648,7276753,/m/0kv37t,Dr. Jekyll y el Hombre Lobo,1972,,96.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",382,115423,1972-05-06,Doctor Jekyll y el Hombre Lobo,Dr. Jekyll vs. the Werewolf,Daninsky Werewolf Collection,844181
19725,2299232,/m/071zqj,Elling,2001,,90.0,"{""/m/05f_3"": ""Norwegian Language""}","{""/m/05b4w"": ""Norway""}","{""/m/03q4nz"": ""World cinema"", ""/m/01t_vv"": ""Comedy-drama"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/060__y"": ""Film adaptation"", ""/m/0vgkd"": ""Black comedy""}",1648,6007,2001-03-16,Elling,Elling,Elling Collection,12075
19790,16909489,/m/0411wj0,Emanuelle Escapes from Hell,1983,,,{},"{""/m/03rjj"": ""Italy""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",1668,45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre,Black Emanuelle Collection,227140
19807,33729909,/m/0hhpyhb,Enteng Ng Ina Mo,2011-12-25,,,{},{},"{""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/0gxblw4"": ""Filipino Movies""}",1479,85786,2011-12-25,Enteng ng Ina Mo,Enteng ng Ina Mo,Enteng Kabisote Collection,527958
19986,1595142,/m/05f7xf,Return to Never Land,2002-02-15,109862682.0,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia"", ""/m/0d060g"": ""Canada"", ""/m/0f8l9c"": ""France""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film""}",64,16690,2002-02-14,Return to Never Land,Return to Never Land,Peter Pan Collection,55422
19994,685931,/m/032xjj,Problem Child 2,1991-07-03,25104700.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0vgkd"": ""Black comedy"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",574,28597,1991-07-03,Problem Child 2,Problem Child 2,Problem Child Collection,180854
20041,2354145,/m/07615d,Curse of the Pink Panther,1983-12-12,,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",885,36576,1983-08-12,Curse of the Pink Panther,Curse of the Pink Panther,The Pink Panther (Original) Collection,937
20071,29331558,/m/0dsb4m2,Hellraiser: Revelations,2011,,75.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",688,70584,2011-10-18,Hellraiser: Revelations,Hellraiser: Revelations,Hellraiser Collection,8917
20090,490979,/m/02gtjg,The Beastmaster,1982-08-16,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0dz8b"": ""Sword and sorcery"", ""/m/02kdv5l"": ""Action"", ""/m/0520_cy"": ""Sword and sorcery films""}",1404,16441,1982-08-16,The Beastmaster,The Beastmaster,The Beastmaster Collection,106000
20118,35916354,/m/0jwrkg2,Wrong Turn 5,2012-10-23,,,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror""}",1623,125509,2012-10-23,Wrong Turn 5: Bloodlines,Wrong Turn 5: Bloodlines,Wrong Turn Collection,52985
20152,993532,/m/03xh2h,Broken Arrow,1950-07-21,3550000.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/0hfjk"": ""Western"", ""/m/02kdv5l"": ""Action""}",1329,37292,1950-08-01,Broken Arrow,Broken Arrow,Cochise Collection,495027
20197,307789,/m/01ss20,House of 1000 Corpses,2003-03-13,16829545.0,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/08w0_f"": ""Albino bias"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0b7z1vt"": ""Road-Horror""}",1085,2662,2003-04-11,House of 1000 Corpses,House of 1000 Corpses,Firefly Collection,105625
20280,7856247,/m/026gfx6,Cyborg 3: The Recycler,1994,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",519,25391,1995-12-19,Cyborg 3: The Recycler,Cyborg 3: The Recycler,Cyborg Collection,98853
20490,983044,/m/03wj_q,Mortal Kombat,1995-08-18,122195920.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",1486,9312,1995-08-18,Mortal Kombat,Mortal Kombat,Mortal Kombat Collection,9818
20509,1470989,/m/0543j5,Meatballs,1979-06-28,43046003.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/06qm3"": ""Screwball comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}",873,14035,1979-06-28,Meatballs,Meatballs,Meatballs Collection,48037
20539,6562947,/m/0gbr30,The Amityville Curse,1990,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/0hj3n5l"": ""Haunted House Film""}",493,41848,1990-05-07,The Amityville Curse,The Amityville Curse,The Amityville Collection,397842
20544,1839695,/m/01hdzl3,Darkman,1990-08-24,48878502.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",43,9556,1990-08-24,Darkman,Darkman,Darkman Collection,45154
20544,1839695,/m/01hdzl3,Darkman,1990-08-24,48878502.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",45,19002,1996-04-14,Darkman III: Die Darkman Die,Darkman III: Die Darkman Die,Darkman Collection,45154
20781,26559182,/m/0bm9ht4,The Cutting Edge: Fire & Ice,2010,,90.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",1494,40080,2010-03-14,The Cutting Edge: Fire & Ice,The Cutting Edge: Fire & Ice,The Cutting Edge Collection,110179
20842,4492414,/m/0c5d1c,Cheaper by the Dozen,1950,4425000.0,85.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy""}",1443,33839,1950-03-31,Cheaper by the Dozen,Cheaper by the Dozen,Cheaper by the Dozen (1950) Collection,730700
21034,99025,/m/0p9rz,Romeo and Juliet,1968-10-08,38901218.0,138.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03rjj"": ""Italy"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0fx2s"": ""Tragedy"", ""/m/04xvh5"": ""Costume drama"", ""/m/0520lz"": ""Roadshow theatrical release"", ""/m/06l3bl"": ""Epic"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film""}",399,217497,1968-12-17,Kampf um Rom – 1. Teil,The Fight for Rome,Kampf um Rom Collection,217499
21039,20546140,/m/05237yy,The Marine 2,2009-12-29,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action""}",425,27310,2009-12-29,The Marine 2,The Marine 2,The Marine Collection,166373
21150,957331,/m/028cg00,The Mummy - Tomb of the Dragon Emperor,2008-07-24,401128639.0,112.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/06x06"": ""Sanskrit Language"", ""/m/03115z"": ""Mandarin Chinese""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d05w3"": ""China"", ""/m/0345h"": ""Germany""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/03jp5h0"": ""Archaeology"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",1566,1735,2008-07-01,The Mummy: Tomb of the Dragon Emperor,The Mummy: Tomb of the Dragon Emperor,The Mummy Collection,1733
21165,24427416,/m/07s6zv4,The Tale of Zatoichi,1962-04-18,,96.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03k9fj"": ""Adventure"", ""/m/03q4nz"": ""World cinema"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/07s9rl0"": ""Drama"", ""/m/02qqtlj"": ""Samurai cinema""}",576,16692,1962-04-18,座頭市物語,The Tale of Zatoichi,Zatoichi: The Blind Swordsman Collection,96887
21188,7277772,/m/0kv3bf,La Bestia y la Espada Magica,1983,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain"", ""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror""}",386,29909,1983-11-25,La bestia y la espada mágica,The Beast and the Magic Sword,Daninsky Werewolf Collection,844181
21248,147829,/m/012y5v,The Bounty,1984-05-04,8613462.0,130.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/0219x_"": ""Indie"", ""/m/04xvh5"": ""Costume drama"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation"", ""/m/03k9fj"": ""Adventure""}",913,751583,2015-01-13,Beyond McNasty: Filthy McNasty 4,Beyond McNasty: Filthy McNasty 4,Filthy McNasty Collection,762822
21257,317647,/m/01v1ln,Tomorrow Never Dies,1997-12-12,339500000.0,115.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/0295r"": ""Danish Language"", ""/m/02h40lc"": ""English Language"", ""/m/04306rv"": ""German Language"", ""/m/012w70"": ""Cantonese""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3n4h"": ""Glamorized Spy Film"", ""/m/02kdv5l"": ""Action""}",625,714,1997-12-11,Tomorrow Never Dies,Tomorrow Never Dies,James Bond Collection,645
21265,2413574,/m/07bcfy,Ben,1972-06-23,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/0hj3mtj"": ""Animal Picture"", ""/m/03npn"": ""Horror""}",1033,42476,1972-06-23,Ben,Ben,Willard Collection,375886
21283,273456,/m/01p0rd,The Love Bug,1968-12-24,,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0ltv"": ""Auto racing""}",1664,14136,1968-12-23,The Love Bug,The Love Bug,Herbie Collection,12087
21338,9781685,/m/027sxqv,Alvin Purple Rides Again,1974,1880000.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0chghy"": ""Australia""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy""}",1092,35000,1974-12-16,Alvin Rides Again,Alvin Rides Again,Alvin Purple Collection,418980
21358,1221314,/m/04jn81,Young Dr. Kildare,1938-10-14,,,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/01g6gs"": ""Black-and-white""}",748,153161,1938-10-14,Young Dr. Kildare,Young Dr. Kildare,Dr. Kildare Collection,721733
21432,88678,/m/0m63c,The Lion King,1994-06-15,951583777.0,87.0,"{""/m/0nl8g"": ""Xhosa Language"", ""/m/0gndv"": ""Zulu Language"", ""/m/071fb"": ""Swahili Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/04rlf"": ""Music"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/04t36"": ""Musical"", ""/m/0bj8m2"": ""Children's"", ""/m/01j1n2"": ""Coming of age"", ""/m/0hj3myc"": ""Children's Fantasy"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/07s9rl0"": ""Drama"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",1686,8587,1994-06-24,The Lion King,The Lion King,The Lion King Collection,94032
21593,3745287,/m/09yqf1,Hellbound: Hellraiser II,1988-12-23,12090735.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0fdjb"": ""Supernatural""}",687,9064,1988-12-23,Hellbound: Hellraiser II,Hellbound: Hellraiser II,Hellraiser Collection,8917
21637,4255260,/m/0bsms7,C.H.U.D II: Bud the C.H.U.D.,1988,,84.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0jb4p32"": ""Zombie Film"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy"", ""/m/0fdjb"": ""Supernatural""}",1429,53150,1989-05-05,C.H.U.D. II: Bud the Chud,C.H.U.D. II: Bud the Chud,C.H.U.D. Collection,257571
21810,1134919,/m/04984j,The Blue Lagoon,1980-06-20,58853106.0,104.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01j1n2"": ""Coming of age"", ""/m/03k9fj"": ""Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02b5_l"": ""Teen""}",1556,70642,1980-08-14,Schulmädchen-Report 13. Teil: Vergiß beim Sex die Liebe nicht,Making Out,Schoolgirl Report Collection,304809
21863,24970545,/m/09ghmv9,Go Trabi Go,1991-01-17,,96.0,{},"{""/m/0345h"": ""Germany""}","{""/m/01z4y"": ""Comedy""}",272,11691,1991-01-17,Go Trabi Go,Go Trabi Go,Go Trabi Go Collection,237897
21895,1972231,/m/06b0s1,Flipper,1963,,90.0,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure""}",1087,19893,1963-08-14,Flipper,Flipper,Flipper Collection,1205405
21936,5161973,/m/0d5nzd,Tombs of the Blind Dead,1971,,86.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/01q03"": ""Cult"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",1531,37601,1972-04-10,La noche del terror ciego,Tombs of the Blind Dead,The Blind Dead Collection,108170
21936,5161973,/m/0d5nzd,Tombs of the Blind Dead,1971,,86.0,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain""}","{""/m/01q03"": ""Cult"", ""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",1532,12550,1973-05-17,El ataque de los muertos sin ojos,Attack of the Blind Dead,The Blind Dead Collection,108170
22275,23941708,/m/08ct6,2001: A Space Odyssey,1968-04-06,190000000.0,156.0,"{""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0520lz"": ""Roadshow theatrical release"", ""/m/073_6"": ""Surrealism"", ""/m/02n4kr"": ""Mystery"", ""/m/01xpvb7"": ""Airplanes and airports""}",287,62,1968-04-02,2001: A Space Odyssey,2001: A Space Odyssey,The Space Odyssey Series,4438
22368,19672025,/m/04n31dd,Class of 1999 II: The Substitute,1990-05-11,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie""}",535,61954,1994-03-29,Class of 1999 II: The Substitute,Class of 1999 II: The Substitute,Class of 1999 Collection,164397
22501,3257958,/m/091rc5,The Santa Clause 3: The Escape Clause,2006-11-03,110768122.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/0bwgnb"": ""Christmas movie"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3n6r"": ""Holiday Film""}",1744,13767,2006-11-02,The Santa Clause 3: The Escape Clause,The Santa Clause 3: The Escape Clause,The Santa Clause Collection,53159
22517,6049256,/m/0fmht5,Critters,1986-04-11,13167232.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/0vgkd"": ""Black comedy""}",640,3980,1986-04-11,Critters,Critters,Critters Collection,10893
22651,5838045,/m/0f88sr,Hellboy: Blood and Iron,2007-03-17,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",260,13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron,Hellboy (Animated) Collection,123203
22651,5838045,/m/0f88sr,Hellboy: Blood and Iron,2007-03-17,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",261,154207,2007-06-12,Hellboy Animated: Iron Shoes,Hellboy Animated: Iron Shoes,Hellboy (Animated) Collection,123203
22712,26762105,/m/0bmk0w5,The Prince and Me 4: The Elephant Adventure,2010-03-23,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/05p553"": ""Comedy film""}",250,36515,2010-03-23,The Prince & Me 4: The Elephant Adventure,The Prince & Me 4: The Elephant Adventure,The Prince & Me Collection,86334
