,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Unnamed: 0,id,release_date,original_title,title,release year
18526,6073527,/m/0fnqst,Children of the Corn: Revelation,2001-10-09,0.0,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",312,25753,2001-10-09,Children of the Corn: Revelation,Children of the Corn: Revelation,2001.0
18606,2994014,/m/08jc0x,The NeverEnding Story III,1994,0.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0345h"": ""Germany""}","{""/m/0hqxf"": ""Family Film"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",79,27793,1994-10-26,The NeverEnding Story III,The NeverEnding Story III,1994.0
18615,1686031,/m/05n9yq,Unleashed,2005-02-02,50871113.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}",763,862065,2005-04-01,The Pool 2,The Pool 2,2005.0
18727,9764956,/m/02prhml,Fantômas se déchaîne,1965-12-08,0.0,93.0,"{""/m/064_8sq"": ""French Language""}","{""/m/0f8l9c"": ""France"", ""/m/03rjj"": ""Italy""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/0gf28"": ""Parody"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/0hj3mzb"": ""Comedy Thriller"", ""/m/01z4y"": ""Comedy""}",140,1870,1965-12-08,Fantômas se déchaîne,Fantomas Unleashed,1965.0
18890,957359,/m/03t97y,The Mummy Returns,2001-04-29,433013274.0,125.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/0fdjb"": ""Supernatural"", ""/m/04xvh5"": ""Costume drama"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/02kdv5l"": ""Action""}",15,1734,2001-05-04,The Mummy Returns,The Mummy Returns,2001.0
19124,4333214,/m/0bxmws,I'll Always Know What You Did Last Summer,2006-08-22,0.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/09blyk"": ""Psychological thriller"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",51,3602,2006-06-24,I'll Always Know What You Did Last Summer,I'll Always Know What You Did Last Summer,2006.0
19492,7042051,/m/0h1mkn,Bride of Boogedy,1987-04-12,0.0,100.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hqxf"": ""Family Film"", ""/m/0hj3n2s"": ""Fantasy Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3myq"": ""Children's/Family""}",468,47631,1987-04-12,Bride of Boogedy,Bride of Boogedy,1987.0
19592,1549008,/m/059k85,Herbie: Fully Loaded,2005-06-19,144133816.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hj3l_y"": ""Action Comedy"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/0hqxf"": ""Family Film"", ""/m/0ltv"": ""Auto racing""}",57,11451,2005-06-22,Herbie Fully Loaded,Herbie Fully Loaded,2005.0
19790,16909489,/m/0411wj0,Emanuelle Escapes from Hell,1983,0.0,,{},"{""/m/03rjj"": ""Italy""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama""}",18,45233,1983-05-06,Blade Violent - I violenti,Women's Prison Massacre,1983.0
19986,1595142,/m/05f7xf,Return to Never Land,2002-02-15,109862682.0,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia"", ""/m/0d060g"": ""Canada"", ""/m/0f8l9c"": ""France""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film""}",134,16690,2002-02-14,Return to Never Land,Return to Never Land,2002.0
20041,2354145,/m/07615d,Curse of the Pink Panther,1983-12-12,4491986.0,110.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",91,36576,1983-08-12,Curse of the Pink Panther,Curse of the Pink Panther,1983.0
20539,6562947,/m/0gbr30,The Amityville Curse,1990,0.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/02n4kr"": ""Mystery"", ""/m/03npn"": ""Horror"", ""/m/0hj3n5l"": ""Haunted House Film""}",359,41848,1990-05-07,The Amityville Curse,The Amityville Curse,1990.0
20653,24010150,/m/07kcy_m,The Bashful Bachelor,1942-03-19,675000.0,78.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z4y"": ""Comedy"", ""/m/01g6gs"": ""Black-and-white""}",543,182303,1942-03-19,The Bashful Bachelor,The Bashful Bachelor,1942.0
20888,21142000,/m/05c2j5_,Eleanor and Franklin: The White House Years,1977-03-13,0.0,180.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/017fp"": ""Biography"", ""/m/07s9rl0"": ""Drama""}",656,263220,1977-03-13,Eleanor and Franklin: The White House Years,Eleanor and Franklin: The White House Years,1977.0
21039,20546140,/m/05237yy,The Marine 2,2009-12-29,0.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action""}",190,27310,2009-12-29,The Marine 2,The Marine 2,2009.0
21265,2413574,/m/07bcfy,Ben,1972-06-23,0.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/0hj3mtj"": ""Animal Picture"", ""/m/03npn"": ""Horror""}",380,42476,1972-06-23,Ben,Ben,1972.0
21338,9781685,/m/027sxqv,Alvin Purple Rides Again,1974,1880000.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0chghy"": ""Australia""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy""}",618,35000,1974-12-16,Alvin Rides Again,Alvin Rides Again,1974.0
21593,3745287,/m/09yqf1,Hellbound: Hellraiser II,1988-12-23,12090735.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/0fdjb"": ""Supernatural""}",62,9064,1988-12-23,Hellbound: Hellraiser II,Hellbound: Hellraiser II,1988.0
22278,6610784,/m/0gdpxh,Graveyard Shift II,1988,0.0,,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/03npn"": ""Horror""}",662,251439,1988-11-01,The Understudy: Graveyard Shift II,The Understudy: Graveyard Shift II,1988.0
22651,5838045,/m/0f88sr,Hellboy: Blood and Iron,2007-03-17,0.0,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",171,13204,2007-03-10,Hellboy Animated: Blood and Iron,Hellboy Animated: Blood and Iron,2007.0
23178,213270,/m/01f7jt,Back to the Future Part II,1989-11-20,331950002.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/0hqxf"": ""Family Film"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/09kqc"": ""Humour""}",37,165,1989-11-22,Back to the Future Part II,Back to the Future Part II,1989.0
23555,3614858,/m/09q1qm,Ju-on 2,2000,196200.0,92.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror"", ""/m/03q4nz"": ""World cinema""}",326,44203,2000-03-25,呪怨2 ビデオ版,Ju-On: The Curse 2,2000.0
23740,31304530,/m/0gjb4cd,Mark of the Devil Part II,1973,0.0,97.0,{},"{""/m/082fr"": ""West Germany""}","{""/m/03npn"": ""Horror""}",494,27489,1973-01-26,Hexen geschändet und zu Tode gequält,Mark of the Devil Part II,1973.0
23834,7153837,/m/0h73xq,Puppet Master 4,1993-11-24,0.0,79.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",311,26957,1993-11-24,Puppet Master 4,Puppet Master 4,1993.0
23854,17484649,/m/04637b5,The Son of Tarzan,1920,0.0,241.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06ppq"": ""Silent film"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3n96"": ""Jungle Film"", ""/m/01g6gs"": ""Black-and-white"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/02kdv5l"": ""Action""}",721,199960,1920-04-30,The Son of Tarzan,The Son of Tarzan,1920.0
23964,11541829,/m/02rhc5j,Pulse 2: Afterlife,2008-09-30,0.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0fdjb"": ""Supernatural""}",358,14212,2008-09-30,Pulse 2: Afterlife,Pulse 2: Afterlife,2008.0
24170,2877925,/m/088lv8,Bambi II,2006-01-26,34958637.0,70.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/01j1n2"": ""Coming of age"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n26"": ""Family-Oriented Adventure""}",90,13205,2006-01-26,Bambi II,Bambi II,2006.0
24380,2092559,/m/06llvx,Herbie Rides Again,1974-06-06,38229000.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/016vh2"": ""Caper story"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/0hqxf"": ""Family Film""}",137,10869,1974-02-12,Herbie Rides Again,Herbie Rides Again,1974.0
24798,1075228,/m/043rxb,Oliver's Story,1978-12-15,0.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",526,163631,1978-12-15,Oliver's Story,Oliver's Story,1978.0
24919,725817,/m/035zkg,The Jungle Book 2,2003-02-14,135703599.0,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03k9fj"": ""Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/0hj3mtv"": ""Animated Musical"", ""/m/04rlf"": ""Music"", ""/m/0hqxf"": ""Family Film"", ""/m/0hj3n26"": ""Family-Oriented Adventure""}",111,14873,2003-02-07,The Jungle Book 2,The Jungle Book 2,2003.0
25118,2139989,/m/06pqwk,The Junkman,1982-10-28,0.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3mxr"": ""Chase Movie"", ""/m/0hj3l_y"": ""Action Comedy"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/02kdv5l"": ""Action""}",573,54498,1982-08-28,The Junkman,The Junkman,1982.0
25600,11677522,/m/02rnm9t,Madman,1982,0.0,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0219x_"": ""Indie""}",439,51925,1982-03-10,Les Sous-Doués En Vacances,The Under-Gifted In Vacation,1982.0
25626,23484172,/m/06wb920,Paul and Michelle,1974,0.0,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/07ssc"": ""United Kingdom""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",559,4155,1974-03-15,Paul and Michelle,Paul and Michelle,1974.0
25722,9977694,/m/02pyqky,Loose Screws,1985,0.0,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0d060g"": ""Canada""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}",446,44191,1985-08-01,Loose Screws,Loose Screws,1985.0
25723,2409484,/m/07b2jc,Transporter 2,2005-08-03,85167639.0,87.0,"{""/m/064_8sq"": ""French Language"", ""/m/02bjrlw"": ""Italian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0f8l9c"": ""France""}","{""/m/01jfsb"": ""Thriller"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film""}",40,9335,2005-08-03,Transporter 2,Transporter 2,2005.0
26022,1195560,/m/04gcyg,2010: The Year We Make Contact,1984-12-07,40400657.0,116.0,"{""/m/06b_j"": ""Russian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/09blyk"": ""Psychological thriller"", ""/m/07s9rl0"": ""Drama"", ""/m/060__y"": ""Film adaptation""}",27,4437,1984-12-06,2010,2010,1984.0
26081,4272659,/m/0btgg9,Jack Frost 2: Revenge of the Mutant Killer Snowman,2000,0.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/05p553"": ""Comedy film"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",284,27320,2000-11-21,Jack Frost 2: The Revenge of the Mutant Killer Snowman,Jack Frost 2: The Revenge of the Mutant Killer Snowman,2000.0
26296,16385924,/m/03wj808,The Sting II,1983-02-18,6347072.0,102.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01z02hx"": ""Sports"", ""/m/0hj3m_x"": ""Crime Comedy"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/04xvlr"": ""Period piece"", ""/m/07s9rl0"": ""Drama"", ""/m/01z4y"": ""Comedy"", ""/m/02kdv5l"": ""Action""}",405,36912,1983-02-18,The Sting II,The Sting II,1983.0
26916,12256764,/m/02vxwl7,Wishmaster 3: Beyond the Gates of Hell,2001-10-23,0.0,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0fdjb"": ""Supernatural""}",50,28635,2001-10-23,Wishmaster 3: Beyond the Gates of Hell,Wishmaster 3: Beyond the Gates of Hell,2001.0
27018,30871261,/m/04xx35,The Ring Two,2005-03-17,161451538.0,128.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama""}",89,10320,2005-03-10,The Ring Two,The Ring Two,2005.0
27479,19035695,/m/04jczdw,Further Up the Creek,1958,0.0,91.0,{},"{""/m/07ssc"": ""United Kingdom""}","{""/m/01z4y"": ""Comedy"", ""/m/082gq"": ""War film""}",621,169996,1958-10-28,Further Up the Creek,Further Up the Creek,1958.0
27506,617769,/m/02x48b,Rasen,1998,12662948.0,97.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/03npn"": ""Horror"", ""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/0fdjb"": ""Supernatural""}",382,9706,1998-01-31,らせん,The Spiral,1998.0
27542,14030712,/m/03crjlt,Confessions of a Pop Performer,1975-07,0.0,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gsy3b"": ""Sex comedy"", ""/m/01z4y"": ""Comedy""}",407,34905,1975-01-01,Confessions of a Pop Performer,Confessions of a Pop Performer,1975.0
28017,13992681,/m/03cqdw9,Dick Tracy's Dilemma,1947,0.0,60.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/028v3"": ""Detective fiction"", ""/m/0vjs6"": ""Detective"", ""/m/04pbhw"": ""Superhero movie"", ""/m/01g6gs"": ""Black-and-white"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama"", ""/m/0btmb"": ""Superhero"", ""/m/02kdv5l"": ""Action"", ""/m/02xh1"": ""Film noir""}",348,117123,1947-05-20,Dick Tracy's Dilemma,Dick Tracy's Dilemma,1947.0
28386,2677828,/m/07xb6g,The Invisible Man Returns,1940-01-12,0.0,81.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/01g6gs"": ""Black-and-white""}",242,28421,1940-01-12,The Invisible Man Returns,The Invisible Man Returns,1940.0
28406,14187517,/m/03cx78t,The Over-the-Hill Gang Rides Again,1970-11-17,0.0,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hfjk"": ""Western"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mzj"": ""Comedy Western""}",485,59984,1970-11-16,The Over-the-Hill Gang Rides Again,The Over-the-Hill Gang Rides Again,1970.0
28541,2206376,/m/06vwp4,Son of Frankenstein,1939-01-13,0.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0h9qh"": ""Monster""}",276,3077,1939-01-13,Son of Frankenstein,Son of Frankenstein,1939.0
28552,3242877,/m/090t2g,House of the Dead 2,2006-02-11,0.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0jb4p32"": ""Zombie Film"", ""/m/03npn"": ""Horror"", ""/m/02b5_l"": ""Teen""}",163,29293,2006-02-11,House of the Dead 2,House of the Dead 2,2006.0
28556,6212570,/m/0fx23h,Citizen Toxie: The Toxic Avenger Part IV,2001-11-02,0.0,99.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0qdzd"": ""B-movie"", ""/m/04pbhw"": ""Superhero movie"", ""/m/03npn"": ""Horror"", ""/m/01q03"": ""Cult"", ""/m/06nbt"": ""Satire"", ""/m/01z4y"": ""Comedy"", ""/m/0vgkd"": ""Black comedy"", ""/m/02kdv5l"": ""Action""}",125,27601,2001-11-01,Citizen Toxie: The Toxic Avenger IV,Citizen Toxie: The Toxic Avenger IV,2001.0
28584,3012123,/m/08khdc,Howling V: The Rebirth,1989,0.0,96.0,"{""/m/02h40lc"": ""English Language"", ""/m/02ztjwg"": ""Hungarian language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0hj3n4p"": ""Gothic Film"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0219x_"": ""Indie""}",150,35945,1989-05-01,Howling V: The Rebirth,Howling V: The Rebirth,1989.0
28704,3303622,/m/094g2z,Father of the Bride Part II,1995-12-08,76594107.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06qm3"": ""Screwball comedy"", ""/m/02l7c8"": ""Romance Film"", ""/m/0hqxf"": ""Family Film"", ""/m/01z4y"": ""Comedy""}",146,11862,1995-12-08,Father of the Bride Part II,Father of the Bride Part II,1995.0
29062,1688593,/m/05njxh,Urban Legends: Final Cut,2000-09-22,38574362.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen""}",158,12212,2000-09-22,Urban Legends: Final Cut,Urban Legends: Final Cut,2000.0
29102,1693888,/m/05nysd,The Evening Star,1996,12767815.0,129.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama""}",336,30285,1996-12-25,The Evening Star,The Evening Star,1996.0
29207,3365981,/m/097wz2,Howling: New Moon Rising,1995,0.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",522,38499,1995-10-17,Howling: New Moon Rising,Howling: New Moon Rising,1995.0
29311,1381479,/m/04y4lf,Blue Murder at St Trinian's,1957,0.0,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01z4y"": ""Comedy""}",538,16904,1957-12-01,Blue Murder at St. Trinian's,Blue Murder at St. Trinian's,1957.0
29440,1961602,/m/06965g,Sometimes They Come Back... Again,1996,0.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",183,27770,1996-09-03,Sometimes They Come Back... Again,Sometimes They Come Back... Again,1996.0
30095,303928,/m/01s7vd,Escape from the Planet of the Apes,1971-05-21,12348905.0,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3n1c"": ""Escape Film""}",60,1687,1971-05-20,Escape from the Planet of the Apes,Escape from the Planet of the Apes,1971.0
30301,3096248,/m/08r4lj,Howling IV: The Original Nightmare,1988,0.0,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film""}",367,38500,1988-11-01,Howling IV: The Original Nightmare,Howling IV: The Original Nightmare,1988.0
30343,4916683,/m/0cv1kq,Ong Bak 2: The Beginning,2008-12-04,8868786.0,94.0,"{""/m/0c_v2"": ""Thai Language""}","{""/m/07f1x"": ""Thailand""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/03q4nz"": ""World cinema""}",110,16353,2008-12-04,องค์บาก 2,Ong Bak 2,2008.0
30543,5700623,/m/0d_wms,Superman II: The Richard Donner Cut,2006-11-28,0.0,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/06n90"": ""Science Fiction"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/02l7c8"": ""Romance Film""}",72,624479,2006-11-02,Superman II: The Richard Donner Cut,Superman II: The Richard Donner Cut,2006.0
30705,12013209,/m/02vly7l,"No Retreat, No Surrender 3: Blood Brothers",1990-01-25,0.0,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/03h64"": ""Hong Kong""}","{""/m/02kdv5l"": ""Action""}",144,36884,1990-01-25,"No Retreat, No Surrender 3: Blood Brothers","No Retreat, No Surrender 3: Blood Brothers",1990.0
31201,3639599,/m/09rlv6,Gamera vs. Gyaos,1967-03-15,0.0,87.0,"{""/m/03_9r"": ""Japanese Language""}","{""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies""}",438,52728,1967-03-15,大怪獣空中戦 ガメラ対ギャオス,Gamera vs. Gyaos,1967.0
31471,22635683,/m/05zp0f0,"St. Trinian's, The Legend of Fritton's Gold",2009-12-18,11200000.0,106.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen"", ""/m/03k9fj"": ""Adventure""}",202,37565,2009-12-18,St Trinian's 2: The Legend of Fritton's Gold,St Trinian's 2: The Legend of Fritton's Gold,2009.0
