,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,id,collection,collection_id
17218,10093456,/m/02q1l96,Carnosaur 3: Primal Species,1996-12-17,,81.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0qdzd"": ""B-movie"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film""}",55667,Carnosaur Collection,256484
17596,34289848,/m/0hzjcc0,Hollywood Hot Tubs,1984-07,,,{},{},"{""/m/05p553"": ""Comedy film"", ""/m/01jk9n"": ""Pornographic movie"", ""/m/02nxfrh"": ""Adult""}",36808,Hollywood Hot Tubs Collection,1161620
18000,2901971,/m/08b9wj,Howling II: Stirba - Werewolf Bitch,1985-12-01,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/03rjj"": ""Italy"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie""}",29794,The Howling Collection,174218
18218,444267,/m/0296vv,Legally Blonde,2001-06-26,141774679.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3m_k"": ""Courtroom Comedy"", ""/m/0cshrf"": ""Political cinema"", ""/m/02l7c8"": ""Romance Film""}",8835,Legally Blonde Collection,86024
18218,444267,/m/0296vv,Legally Blonde,2001-06-26,141774679.0,97.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy"", ""/m/03p5xs"": ""Comedy of manners"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3m_k"": ""Courtroom Comedy"", ""/m/0cshrf"": ""Political cinema"", ""/m/02l7c8"": ""Romance Film""}",528320,Legally Blonde Collection,86024
18451,657809,/m/030bds,The Next Karate Kid,1994-08-12,15826984.0,107.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/07s9rl0"": ""Drama"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/02kdv5l"": ""Action"", ""/m/01j1n2"": ""Coming of age"", ""/m/02b5_l"": ""Teen""}",11231,The Karate Kid Collection,8580
19132,18062757,/m/047ntyg,Joy Ride 2: Dead Ahead,2008-10,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04228s"": ""Road movie"", ""/m/09blyk"": ""Psychological thriller"", ""/m/02n4kr"": ""Mystery"", ""/m/0c3351"": ""Suspense"", ""/m/02wtdps"": ""Crime Thriller""}",16763,Joy Ride Collection,166378
19211,11558238,/m/02rj2qt,The Boogeyman,1980,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural""}",40220,The Boogey Man Collection,715105
19425,1896864,/m/064kkg,9½ Weeks,1986-02-21,6734844.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02js9"": ""Erotica""}",10068,9½ Weeks Collection,121195
19425,1896864,/m/064kkg,9½ Weeks,1986-02-21,6734844.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02js9"": ""Erotica""}",18167,9½ Weeks Collection,121195
19425,1896864,/m/064kkg,9½ Weeks,1986-02-21,6734844.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02js9"": ""Erotica""}",74023,9½ Weeks Collection,121195
19640,3066864,/m/08p6d0,Nemesis,1993-01-29,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0k6nt"": ""Denmark""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie""}",24230,Nemesis Collection,286948
19640,3066864,/m/08p6d0,Nemesis,1993-01-29,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0k6nt"": ""Denmark""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie""}",540727,Nemesis Collection,286948
19986,1595142,/m/05f7xf,Return to Never Land,2002-02-15,109862682.0,72.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0chghy"": ""Australia"", ""/m/0d060g"": ""Canada"", ""/m/0f8l9c"": ""France""}","{""/m/0hj3n2k"": ""Fantasy Adventure"", ""/m/0hj3myq"": ""Children's/Family"", ""/m/0hcr"": ""Animation"", ""/m/0bj8m2"": ""Children's"", ""/m/01hmnh"": ""Fantasy"", ""/m/0hqxf"": ""Family Film""}",16690,Peter Pan Collection,55422
20243,25705811,/m/09v60tx,"The Actress, the Dollars and the Transylvanians",1979,,72.0,"{""/m/02hxc3j"": ""Romanian Language"", ""/m/02h40lc"": ""English Language""}","{""/m/06c1y"": ""Romania""}","{""/m/0hfjk"": ""Western""}",144089,Transylvanians Trilogy,620931
20544,1839695,/m/01hdzl3,Darkman,1990-08-24,48878502.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",9556,Darkman Collection,45154
20544,1839695,/m/01hdzl3,Darkman,1990-08-24,48878502.0,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0btmb"": ""Superhero"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action""}",19002,Darkman Collection,45154
21039,20546140,/m/05237yy,The Marine 2,2009-12-29,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/02kdv5l"": ""Action""}",27310,The Marine Collection,166373
21188,7277772,/m/0kv3bf,La Bestia y la Espada Magica,1983,,,"{""/m/06nm1"": ""Spanish Language""}","{""/m/06mkj"": ""Spain"", ""/m/03_3d"": ""Japan""}","{""/m/0gw5n2f"": ""Japanese Movies"", ""/m/03npn"": ""Horror""}",29909,Daninsky Werewolf Collection,844181
21863,24970545,/m/09ghmv9,Go Trabi Go,1991-01-17,,96.0,{},"{""/m/0345h"": ""Germany""}","{""/m/01z4y"": ""Comedy""}",11691,Go Trabi Go Collection,237897
22275,23941708,/m/08ct6,2001: A Space Odyssey,1968-04-06,190000000.0,156.0,"{""/m/02h40lc"": ""English Language"", ""/m/06b_j"": ""Russian Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/0520lz"": ""Roadshow theatrical release"", ""/m/073_6"": ""Surrealism"", ""/m/02n4kr"": ""Mystery"", ""/m/01xpvb7"": ""Airplanes and airports""}",62,The Space Odyssey Series,4438
22651,5838045,/m/0f88sr,Hellboy: Blood and Iron,2007-03-17,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",13204,Hellboy (Animated) Collection,123203
22651,5838045,/m/0f88sr,Hellboy: Blood and Iron,2007-03-17,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/04pbhw"": ""Superhero movie"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0btmb"": ""Superhero"", ""/m/0hcr"": ""Animation"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0jxy"": ""Anime"", ""/m/01hmnh"": ""Fantasy"", ""/m/02kdv5l"": ""Action""}",154207,Hellboy (Animated) Collection,123203
22712,26762105,/m/0bmk0w5,The Prince and Me 4: The Elephant Adventure,2010-03-23,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02l7c8"": ""Romance Film"", ""/m/05p553"": ""Comedy film""}",36515,The Prince & Me Collection,86334
22768,6551671,/m/0g9_qt,The Killer Shrews,1959-06-25,,69.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06vxwl5"": ""Natural horror films"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0h9qh"": ""Monster""}",43109,Killer Shrews Collection,762287
22768,6551671,/m/0g9_qt,The Killer Shrews,1959-06-25,,69.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06vxwl5"": ""Natural horror films"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/01g6gs"": ""Black-and-white"", ""/m/0h9qh"": ""Monster""}",129524,Killer Shrews Collection,762287
22799,1430128,/m/050xd7,Carry On up the Khyber,1968,,88.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/0hj3msd"": ""Adventure Comedy"", ""/m/01z4y"": ""Comedy"", ""/m/082gq"": ""War film""}",22937,Carry On Collection,918027
23178,213270,/m/01f7jt,Back to the Future Part II,1989-11-20,331950002.0,108.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06n90"": ""Science Fiction"", ""/m/03k9fj"": ""Adventure"", ""/m/01z4y"": ""Comedy"", ""/m/07s2s"": ""Time travel"", ""/m/0hqxf"": ""Family Film"", ""/m/0cq23f0"": ""Sci-Fi Adventure"", ""/m/09kqc"": ""Humour""}",165,Back to the Future Collection,264
23333,620034,/m/02xd2b,Predator 2,1990-11-19,57120318.0,93.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0hj3mt0"": ""Alien Film"", ""/m/02kdv5l"": ""Action""}",169,Predator Collection,399
23729,301798,/m/01r_0s,Dirty Harry,1971-12-22,35976000.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0cq22f9"": ""Action Thrillers"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/02n4kr"": ""Mystery"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action""}",984,Dirty Harry Collection,10456
24319,8824700,/m/027l260,Candyman 3: Day of the Dead,1999-07-09,,102.0,"{""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",12485,Candyman Collection,98580
24408,2711278,/m/07zhf9,Howling III,1987,,98.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0chghy"": ""Australia"", ""/m/0ctw_b"": ""New Zealand""}","{""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy"", ""/m/0219x_"": ""Indie""}",32595,The Howling Collection,174218
24848,9979,/m/02qcr,Eyes Wide Shut,1999-07-13,162091208.0,159.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/01jfsb"": ""Thriller"", ""/m/0hj3n16"": ""Erotic Drama"", ""/m/02js9"": ""Erotica"", ""/m/02n4kr"": ""Mystery"", ""/m/073_6"": ""Surrealism"", ""/m/09blyk"": ""Psychological thriller"", ""/m/0glj9q"": ""Erotic thriller"", ""/m/0hj3nbk"": ""Marriage Drama"", ""/m/07s9rl0"": ""Drama"", ""/m/02l7c8"": ""Romance Film""}",96250,Sleepy Eyes of Death Collection,460969
25626,23484172,/m/06wb920,Paul and Michelle,1974,,105.0,"{""/m/02h40lc"": ""English Language""}","{""/m/0f8l9c"": ""France"", ""/m/07ssc"": ""United Kingdom""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/07s9rl0"": ""Drama""}",4155,Friends Collection,321647
26026,12890638,/m/02xb1zf,Lost Boys II: The Tribe,2008-07-29,,92.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/01q03"": ""Cult"", ""/m/03npn"": ""Horror"", ""/m/01z4y"": ""Comedy"", ""/m/02b5_l"": ""Teen""}",214395,Jungle Jim Collection,661850
26065,17366863,/m/043p2cq,Raptor,2001-11-06,,81.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06vxwl5"": ""Natural horror films"", ""/m/0qdzd"": ""B-movie"", ""/m/0cq22z7"": ""Sci-Fi Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0h9qh"": ""Monster"", ""/m/03npn"": ""Horror""}",9938,Carnosaur Collection,256484
26081,4272659,/m/0btgg9,Jack Frost 2: Revenge of the Mutant Killer Snowman,2000,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/05p553"": ""Comedy film"", ""/m/01hmnh"": ""Fantasy"", ""/m/01z4y"": ""Comedy"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",27320,Jack Frost Collection,203178
26916,12256764,/m/02vxwl7,Wishmaster 3: Beyond the Gates of Hell,2001-10-23,,89.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/0d060g"": ""Canada""}","{""/m/0g092b"": ""Monster movie"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0fdjb"": ""Supernatural""}",28635,Wishmaster Collection,135489
27018,30871261,/m/04xx35,The Ring Two,2005-03-17,161451538.0,128.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/03npn"": ""Horror"", ""/m/0fdjb"": ""Supernatural"", ""/m/01q03"": ""Cult"", ""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama""}",10320,The Ring Collection,14563
27115,9823771,/m/02pt8fz,Death Wish V: The Face of Death,1994,1702394.0,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/0lsxr"": ""Crime Fiction"", ""/m/02kdv5l"": ""Action"", ""/m/02wtdps"": ""Crime Thriller"", ""/m/03btsm8"": ""Action/Adventure""}",34746,Death Wish Collection,14377
27776,464128,/m/02cp0b,Bad News Bears,1976-04-07,42349782.0,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01z02hx"": ""Sports"", ""/m/0hqxf"": ""Family Film"", ""/m/01j1n2"": ""Coming of age"", ""/m/01z4y"": ""Comedy"", ""/m/018jz"": ""Baseball""}",23479,The Bad News Bears Collection,215326
27814,3037946,/m/08md07,A Nightmare on Elm Street 3: Dream Warriors,1987-02-27,44793222.0,96.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher"", ""/m/02b5_l"": ""Teen"", ""/m/0fdjb"": ""Supernatural""}",10072,A Nightmare on Elm Street Collection,8581
28191,5414895,/m/0dkv90,Red Cliff,2008-06-30,248400000.0,150.0,"{""/m/0653m"": ""Standard Mandarin""}","{""/m/0d05w3"": ""China""}","{""/m/03q4nz"": ""World cinema"", ""/m/03g3w"": ""History"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/06l3bl"": ""Epic"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/0hj3n6f"": ""Historical Epic"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",12289,Red Cliff Collection,96677
28191,5414895,/m/0dkv90,Red Cliff,2008-06-30,248400000.0,150.0,"{""/m/0653m"": ""Standard Mandarin""}","{""/m/0d05w3"": ""China""}","{""/m/03q4nz"": ""World cinema"", ""/m/03g3w"": ""History"", ""/m/0hj3m_6"": ""Costume Adventure"", ""/m/06l3bl"": ""Epic"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/07s9rl0"": ""Drama"", ""/m/082gq"": ""War film"", ""/m/0hj3n6f"": ""Historical Epic"", ""/m/02kdv5l"": ""Action"", ""/m/0gw5qqq"": ""Chinese Movies""}",15384,Red Cliff Collection,96677
28241,31667998,/m/0bvdhj4,Counter-Espionage,1942,,73.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06cvj"": ""Romantic comedy""}",100113,Lone Wolf Collection,395433
28317,11488471,/m/02rfl2g,Black Sun: The Nanking Massacre,1994,,90.0,"{""/m/03115z"": ""Mandarin Chinese"", ""/m/0653m"": ""Standard Mandarin"", ""/m/012w70"": ""Cantonese""}","{""/m/03h64"": ""Hong Kong"", ""/m/0d05w3"": ""China""}","{""/m/07s9rl0"": ""Drama"", ""/m/0gw5qqq"": ""Chinese Movies"", ""/m/03q4nz"": ""World cinema"", ""/m/082gq"": ""War film""}",51007,Unit 731,633245
28406,14187517,/m/03cx78t,The Over-the-Hill Gang Rides Again,1970-11-17,,75.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0hfjk"": ""Western"", ""/m/01z4y"": ""Comedy"", ""/m/0hj3mzj"": ""Comedy Western""}",59984,The Over-the-Hill Gang Collection,930019
28584,3012123,/m/08khdc,Howling V: The Rebirth,1989,,96.0,"{""/m/02h40lc"": ""English Language"", ""/m/02ztjwg"": ""Hungarian language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0hj3n4p"": ""Gothic Film"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/0219x_"": ""Indie""}",35945,The Howling Collection,174218
28766,72317,/m/0jhpk,Creature from the Black Lagoon,1954-03-05,1300000.0,80.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/06n90"": ""Science Fiction"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01g6gs"": ""Black-and-white""}",10973,Creature From The Black Lagoon Collection,221537
29087,3736986,/m/09y529,Carry On Spying,1964,,87.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}",32109,Carry On Collection,918027
29102,1693888,/m/05nysd,The Evening Star,1996,12767815.0,129.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/068d7h"": ""Romantic drama"", ""/m/02l7c8"": ""Romance Film"", ""/m/02h8pkk"": ""Family Drama"", ""/m/07s9rl0"": ""Drama""}",30285,Terms of Endearment Collection,507956
29207,3365981,/m/097wz2,Howling: New Moon Rising,1995,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03npn"": ""Horror""}",38499,The Howling Collection,174218
29848,6984559,/m/0gzy02,The Guns of Navarone,1961-04-27,,156.0,"{""/m/0349s"": ""Greek Language"", ""/m/04306rv"": ""German Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/02kdv5l"": ""Action"", ""/m/07s9rl0"": ""Drama"", ""/m/03k9fj"": ""Adventure"", ""/m/082gq"": ""War film""}",10911,Navarone Collection,366826
30166,454818,/m/02bjg0,The Abominable Dr. Phibes,1971-05-18,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0hj3nbs"": ""Master Criminal Films"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_c"": ""Costume Horror""}",17965,Dr. Phibes Collection,116847
30301,3096248,/m/08r4lj,Howling IV: The Original Nightmare,1988,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America"", ""/m/07ssc"": ""United Kingdom""}","{""/m/03npn"": ""Horror"", ""/m/0219x_"": ""Indie"", ""/m/0hj3m_q"": ""Creature Film""}",38500,The Howling Collection,174218
30343,4916683,/m/0cv1kq,Ong Bak 2: The Beginning,2008-12-04,8868786.0,94.0,"{""/m/0c_v2"": ""Thai Language""}","{""/m/07f1x"": ""Thailand""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/03q4nz"": ""World cinema""}",16353,Ong Bak Collection,94589
30658,3694303,/m/09vv6j,Carry On Constable,1960-02-22,,86.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",21240,Carry On Collection,918027
31748,4747767,/m/0cl6tk,Follow That Camel,1967,,95.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy""}",24568,Carry On Collection,918027
31947,20762905,/m/053p7gg,Ong Bak 3,2010-05-05,,94.0,"{""/m/0c_v2"": ""Thai Language""}","{""/m/07f1x"": ""Thailand""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02kdv5l"": ""Action"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/03q4nz"": ""World cinema""}",43209,Ong Bak Collection,94589
32081,253828,/m/01ln5z,The Mummy,1999-04-16,415933406.0,115.0,"{""/m/0jzc"": ""Arabic Language"", ""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02kdv5l"": ""Action"", ""/m/01hmnh"": ""Fantasy"", ""/m/03k9fj"": ""Adventure""}",15849,The Mummy (Universal) Collection,221544
32226,9467480,/m/028b207,King Solomon's Mines,1950-11-09,10050000.0,103.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/02l7c8"": ""Romance Film"", ""/m/02kdv5l"": ""Action"", ""/m/03k9fj"": ""Adventure""}",9838,Allan Quatermain Collection,135502
32283,3494241,/m/09gkpz,The Mummy's Tomb,1942-10-23,,71.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03jp5h0"": ""Archaeology"", ""/m/03npn"": ""Horror"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/01g6gs"": ""Black-and-white""}",29239,The Mummy (Universal) Collection,221544
32850,34258056,/m/09s6gpd,The Lone Wolf in London,1947,,68.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02n4kr"": ""Mystery"", ""/m/07s9rl0"": ""Drama""}",85899,Lone Wolf Collection,395433
32932,4055526,/m/0bfv4r,Basket Case 2,1990,,90.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0g092b"": ""Monster movie"", ""/m/0qdzd"": ""B-movie"", ""/m/01q03"": ""Cult"", ""/m/0hj3n7f"": ""Horror Comedy"", ""/m/03npn"": ""Horror"", ""/m/01585b"": ""Slasher""}",27815,Basket Case Trilogy,104716
32990,4133698,/m/0bkyg5,When a Stranger Calls Back,1993-04-04,,94.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/0lsxr"": ""Crime Fiction"", ""/m/01jfsb"": ""Thriller"", ""/m/01lrrt"": ""Melodrama"", ""/m/03npn"": ""Horror"", ""/m/07s9rl0"": ""Drama"", ""/m/01585b"": ""Slasher""}",30554,When a Stranger Calls Collection,276838
33282,3695000,/m/09vw68,Carry On Cabby,1963,,91.0,"{""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/0gf28"": ""Parody"", ""/m/01z4y"": ""Comedy"", ""/m/09q17"": ""Slapstick""}",19254,Carry On Collection,918027
33885,7278140,/m/0kv3c5,Tomb of the Werewolf,2004,,82.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01yldk"": ""Softcore Porn"", ""/m/03npn"": ""Horror""}",27483,Daninsky Werewolf Collection,844181
34232,1107088,/m/046kzn,"The Karate Kid, Part II",1986-06-19,115103979.0,113.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/03btsm8"": ""Action/Adventure"", ""/m/03k9fj"": ""Adventure"", ""/m/02h8pkk"": ""Family Drama"", ""/m/01z02hx"": ""Sports"", ""/m/04t2t"": ""Martial Arts Film"", ""/m/07s9rl0"": ""Drama"", ""/m/0hqxf"": ""Family Film"", ""/m/02kdv5l"": ""Action"", ""/m/02l7c8"": ""Romance Film""}",8856,The Karate Kid Collection,8580
34249,352795,/m/01zhjh,Jaws 2,1978-06-16,208900376.0,116.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06vxwl5"": ""Natural horror films"", ""/m/03npn"": ""Horror"", ""/m/03k9fj"": ""Adventure"", ""/m/0hj3m_q"": ""Creature Film"", ""/m/03btsm8"": ""Action/Adventure"", ""/m/0c3351"": ""Suspense"", ""/m/02kdv5l"": ""Action"", ""/m/01585b"": ""Slasher""}",579,Jaws Collection,2366
34998,666026,/m/0313c3,The Philadelphia Experiment,1984-08-03,,101.0,"{""/m/02h40lc"": ""English Language""}","{""/m/09c7w0"": ""United States of America""}","{""/m/01jfsb"": ""Thriller"", ""/m/06n90"": ""Science Fiction"", ""/m/0219x_"": ""Indie"", ""/m/01hmnh"": ""Fantasy"", ""/m/060__y"": ""Film adaptation"", ""/m/07s9rl0"": ""Drama"", ""/m/07s2s"": ""Time travel"", ""/m/02l7c8"": ""Romance Film"", ""/m/03k9fj"": ""Adventure""}",10606,The Philadelphia Experiment Collection,145784
