,id,release_date,original_title,title,Wikipedia movie ID
240,471474,2018-01-12,Batman: Gotham by Gaslight,Batman: Gotham by Gaslight,55711095
241,40662,2010-07-27,Batman: Under the Red Hood,Batman: Under the Red Hood,26340083
242,15805,1998-02-11,Batman & Mr. Freeze: SubZero,Batman & Mr. Freeze: SubZero,1246278
243,831405,2021-10-09,Injustice,Injustice,68815370
244,379291,2016-03-26,Justice League vs. Teen Titans,Justice League vs. Teen Titans,49157034
245,346681,2017-03-24,Wilson,Wilson,46819212
246,539517,2018-10-04,Constantine: City of Demons - The Movie,Constantine: City of Demons - The Movie,52813801
247,571655,2019-10-10,Valhalla,Valhalla,62748817
248,454549,2017-10-18,Zombillénium,Zombillénium,54056522
249,127867,2012-09-08,The Brass Teapot,The Brass Teapot,38508695
250,9531,1983-06-17,Superman III,Superman III,1059701
251,20533,2010-06-18,Jonah Hex,Jonah Hex,22318957
252,38579,2010-06-03,Marmaduke,Marmaduke,25399151
253,65584,2006-07-24,Aquaman,Aquaman,304665
254,760517,2022-02-11,모럴센스,Love and Leashes,69847793
255,284514,2015-09-04,Anacleto: Agente secreto,Spy Time,42339834
256,242643,2014-08-12,Batman: Assault on Arkham,Batman: Assault on Arkham,42114713
257,471335,2018-03-14,치즈인더트랩,Cheese in the Trap,53070757
258,57331,2011-02-16,Largo Winch II,Largo Winch II,43191917
259,8698,2003-07-11,The League of Extraordinary Gentlemen,The League of Extraordinary Gentlemen,4138142
260,217993,2014-01-21,Justice League: War,Justice League: War,40111059
261,537056,2019-07-19,Batman: Hush,Batman: Hush,60367006
262,1548,2001-07-20,Ghost World,Ghost World,20179720
263,464882,2017-11-14,Batman vs. Two-Face,Batman vs. Two-Face,54902928
264,59859,2013-07-17,Kick-Ass 2,Kick-Ass 2,37086759
265,8980,2003-02-07,La gran aventura de Mortadelo y Filemón,Mortadelo & Filemon: The Big Adventure,20845534
266,624479,2006-11-02,Superman II: The Richard Donner Cut,Superman II: The Richard Donner Cut,5700623
267,419831,2017-11-15,I Kill Giants,I Kill Giants,47799971
268,413279,2016-08-28,Team Thor,Team Thor,61513780
269,2771,2003-08-15,American Splendor,American Splendor,5683113
270,55689,1973-09-20,Baba Yaga,Baba Yaga,43860119
271,13995,1990-12-14,Captain America,Captain America,4557151
272,24264,1984-08-17,Sheena,Sheena,2398332
273,9456,2000-01-23,The Crow: Salvation,The Crow: Salvation,877225
274,13647,2007-01-23,The Invincible Iron Man,The Invincible Iron Man,70876666
275,14011,2008-02-26,Justice League: The New Frontier,Justice League: The New Frontier,6954737
276,125249,1943-07-16,Batman,Batman,11557106
277,897160,2023-10-25,용감한 시민,Brave Citizen,62436008
278,106355,1944-02-05,Captain America,Captain America,39500640
279,9431,1996-08-16,Bordello of Blood,Bordello of Blood,706863
280,21683,2003-10-21,Batman: Mystery of the Batwoman,Batman: Mystery of the Batwoman,474750
281,3632,1936-04-06,Flash Gordon,Flash Gordon,73471
282,615904,2022-02-09,Marry Me,Marry Me,61892187
283,9318,1986-12-03,Astérix chez les Bretons,Asterix in Britain,7807762
284,253980,2014-02-04,Marvel One-Shot: All Hail the King,Marvel One-Shot: All Hail the King,41630933
285,19959,2009-09-24,Surrogates,Surrogates,18448029
286,163754,2011-04-16,クレヨンしんちゃん 嵐を呼ぶ黄金のスパイ大作戦,Crayon Shin-chan: Fierceness That Invites Storm! Operation Golden Spy,496474
287,823999,2022-11-17,Diabolik - Ginko all'attacco!,Diabolik - Ginko Attacks,75511466
288,581997,2019-03-31,Batman vs Teenage Mutant Ninja Turtles,Batman vs Teenage Mutant Ninja Turtles,60023390
289,37565,2009-12-18,St Trinian's 2: The Legend of Fritton's Gold,St Trinian's 2: The Legend of Fritton's Gold,22635683
290,450314,2017-10-12,Condorito: la película,Condorito: The Movie,56401412
291,300424,2014-10-27,LEGO DC Comics Super Heroes: Batman Be-Leaguered,LEGO DC Comics Super Heroes: Batman Be-Leaguered,45343769
292,35026,2009-10-21,Lucky Luke,Lucky Luke,47332954
293,65639,1997-05-15,Todd McFarlane's Spawn,Todd McFarlane's Spawn,4032249
294,46521,1961-12-06,Tintin et le Mystère de la Toison d'or,Tintin and the Mystery of the Golden Fleece,542964
295,736073,2021-06-21,"Batman: The Long Halloween, Part One","Batman: The Long Halloween, Part One",1856915
296,457915,2018-11-23,Superlópez,Superlopez,58406769
297,250124,2015-08-07,The Diary of a Teenage Girl,The Diary of a Teenage Girl,41791333
298,552687,2020-02-07,ヲタクに恋は難しい,Wotakoi: Love is Hard for Otaku,55057023
299,1058063,2023-12-14,Siksa Neraka,Hell Torture,28904914
300,11817,2003-03-28,Bulletproof Monk,Bulletproof Monk,214148
301,321528,2015-04-03,Batman vs. Robin,Batman vs. Robin,45137822
302,408220,2017-01-24,Justice League Dark,Justice League Dark,51208956
303,411741,2017-08-11,Ingrid Goes West,Ingrid Goes West,51367103
304,251519,2014-05-13,Son of Batman,Son of Batman,41697103
305,11827,1981-08-07,Heavy Metal,Heavy Metal,155303
306,101907,2009-01-27,Hulk vs. Thor,Hulk vs. Thor,33700618
307,487680,2019-08-08,The Kitchen,The Kitchen,56885017
308,65994,1954-04-05,Prince Valiant,Prince Valiant,18589178
309,257440,2016-04-29,Term Life,Term Life,42087814
310,18874,2006-09-01,攻殻機動隊: Stand Alone Complex - Solid State Society,Ghost in the Shell: Stand Alone Complex - Solid State Society,434873
311,19593,1990-02-18,The Death of the Incredible Hulk,The Death of the Incredible Hulk,7653582
312,1003580,2023-02-07,Legion of Super-Heroes,Legion of Super-Heroes,71994797
313,10249,1991-06-21,The Rocketeer,The Rocketeer,5807082
314,15374,1969-12-04,A Boy Named Charlie Brown,A Boy Named Charlie Brown,3163760
315,437316,2018-02-21,Les Aventures de Spirou et Fantasio,Spirou & Fantasio's Big Adventures,1429892
316,487672,2019-01-13,Reign of the Supermen,Reign of the Supermen,57998936
317,26881,1988-05-22,The Incredible Hulk Returns,The Incredible Hulk Returns,7864161
318,15860,2006-07-27,龍虎門,Dragon Tiger Gate,6124288
319,469052,2018-04-04,Gaston Lagaffe,Gaston Lagaffe,145398
320,63686,2011-05-16,Thor: Tales of Asgard,Thor: Tales of Asgard,759081
321,168615,2013-02-27,Boule & Bill,Billy and Buddy,9110934
322,11309,1990-09-14,Hardware,Hardware,2175063
323,8592,1990-04-05,Dick Tracy,Dick Tracy,725984
324,322456,2015-02-10,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,LEGO DC Comics Super Heroes: Justice League vs. Bizarro League,44987178
325,8850,1994-07-01,The Shadow,The Shadow,5991505
326,22787,2009-09-09,Whiteout,Whiteout,11039716
327,11402,1954-09-28,The Belles of St. Trinian's,The Belles of St. Trinian's,1381474
328,145961,1942-02-27,The Arctic Giant,The Arctic Giant,11251743
329,288410,2018-10-26,Chris Claremont's X-Men,Chris Claremont's X-Men,19479460
330,171776,2013-03-01,Sparks,Sparks,43137250
331,8831,1994-09-15,Timecop,Timecop,1493527
332,872177,2022-04-29,Corrective Measures,Corrective Measures,69362411
333,23685,2001-02-23,Monkeybone,Monkeybone,2638660
334,230896,2013-12-03,Iron Man & Hulk: Heroes United,Iron Man & Hulk: Heroes United,33715768
335,382512,2016-02-16,LEGO DC Comics Super Heroes: Justice League - Cosmic Clash,LEGO DC Comics Super Heroes: Justice League - Cosmic Clash,48769959
336,9369,1994-09-29,Asterix in Amerika,Asterix Conquers America,7575627
337,76170,2013-07-21,The Wolverine,The Wolverine,29273565
338,9826,1996-06-06,The Phantom,The Phantom,5235481
339,378674,2016-01-19,DC Films Presents Dawn of the Justice League,DC Films Presents Dawn of the Justice League,46754025
